days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
5.5	-2.585417	-22.538194	   NA	-6.0309	-0.9135	1.0395	-3.1134	-2.0568	-0.0470	-1.9397	-2.4067	-1.9401	-2.6858	-2.5492	3.0599	0.3135	-2.4341	-2.4000	-1.8419	-0.4954	-2.2150	2.63	1.18	-1.9281	0.97	0.40	-0.6330	2.12	0.86
5.625	-2.460417	-22.413194	   NA	-6.0332	-0.8975	1.0793	-3.1199	-2.1349	0.0587	-1.9969	-2.4527	-1.9506	-2.7327	-2.5658	3.1606	0.3269	-2.4823	-2.4620	-1.8836	-0.6080	-2.2212	2.65	1.18	-1.9400	1.03	0.42	-0.6581	2.17	0.89
5.75	-2.335417	-22.288194	   NA	-6.0416	-0.8853	1.1590	-3.1247	-2.1913	0.1355	-2.0332	-2.4496	-1.9528	-2.7342	-2.5683	3.2651	0.3494	-2.4705	-2.5112	-1.9070	-0.6601	-2.2168	2.68	1.20	-1.9338	1.06	0.43	-0.6557	2.22	0.91
5.875	-2.210417	-22.163194	   NA	-6.0808	-0.8682	1.2696	-3.1410	-2.2483	0.1931	-2.0564	-2.4476	-1.9351	-2.7007	-2.5435	3.3491	0.3733	-2.4886	-2.5604	-1.8924	-0.6517	-2.2137	2.73	1.22	-1.9150	1.07	0.44	-0.6451	2.26	0.92
6	-2.085417	-22.038194	   NA	-6.1181	-0.8534	1.3959	-3.1694	-2.3053	0.2483	-2.0825	-2.4957	-1.8744	-2.6758	-2.5511	3.4280	0.3887	-2.5234	-2.5863	-1.8814	-0.6298	-2.2101	2.79	1.25	-1.9052	1.10	0.45	-0.6340	2.30	0.94
6.125	-1.960417	-21.913194	   NA	-6.1719	-0.8720	1.5097	-3.2260	-2.3692	0.2720	-2.1280	-2.5364	-1.8072	-2.6630	-2.5924	3.5127	0.3829	-2.5138	-2.5900	-1.8561	-0.6075	-2.2259	2.85	1.27	-1.9092	1.12	0.46	-0.6120	2.33	0.95
6.25	-1.835417	-21.788194	   NA	-6.2492	-0.8931	1.6091	-3.2730	-2.4358	0.2871	-2.1594	-2.5673	-1.7472	-2.6560	-2.5933	3.6037	0.3688	-2.5249	-2.5573	-1.8158	-0.6134	-2.2484	2.91	1.30	-1.9060	1.13	0.46	-0.5898	2.35	0.96
6.375	-1.710417	-21.663194	   NA	-6.3149	-0.9186	1.6853	-3.2802	-2.4429	0.3206	-2.1613	-2.6110	-1.7316	-2.6792	-2.5563	3.6948	0.3789	-2.5315	-2.5059	-1.7745	-0.6278	-2.2543	2.95	1.32	-1.9031	1.15	0.47	-0.5610	2.37	0.97
6.5	-1.585417	-21.538194	   NA	-6.3969	-1.0253	1.7312	-3.3409	-2.4094	0.3173	-2.1682	-2.6276	-1.7540	-2.7118	-2.5632	3.7798	0.3428	-2.5502	-2.4645	-1.7177	-0.7140	-2.2883	2.99	1.34	-1.9179	1.15	0.47	-0.5540	2.39	0.98
6.625	-1.460417	-21.413194	   NA	-6.5114	-1.1232	1.7651	-3.4646	-2.3911	0.2874	-2.1755	-2.6433	-1.7657	-2.7694	-2.5971	3.8679	0.2637	-2.6057	-2.4519	-1.6598	-0.8123	-2.3450	3.04	1.36	-1.9439	1.15	0.47	-0.5664	2.42	0.99
6.75	-1.335417	-21.288194	   NA	-6.6161	-1.1792	1.8055	-3.5649	-2.4213	0.2706	-2.1687	-2.6325	-1.7191	-2.8149	-2.6031	3.9462	0.1965	-2.6086	-2.4767	-1.6139	-0.9107	-2.3952	3.09	1.38	-1.9446	1.16	0.47	-0.5779	2.45	1.00
6.875	-1.210417	-21.163194	   NA	-6.7025	-1.2495	1.8689	-3.6469	-2.4717	0.2835	-2.1318	-2.6403	-1.6414	-2.8193	-2.5904	3.9959	0.1501	-2.6207	-2.5586	-1.6220	-0.9016	-2.4403	3.15	1.41	-1.9233	1.16	0.47	-0.5928	2.48	1.01
7	-1.085417	-21.038194	   NA	-6.7486	-1.3403	1.9291	-3.7256	-2.5446	0.3324	-2.1140	-2.6610	-1.6131	-2.8098	-2.6014	4.0399	0.1070	-2.6510	-2.6657	-1.6340	-0.8738	-2.4860	3.18	1.42	-1.9111	1.18	0.48	-0.6129	2.52	1.03
7.125	-0.960417	-20.913194	   NA	-6.7835	-1.4357	1.9629	-3.7739	-2.6791	0.3725	-2.1725	-2.6986	-1.6662	-2.8344	-2.6547	4.0985	0.0573	-2.6621	-2.7592	-1.6651	-0.8737	-2.5419	3.20	1.43	-1.9423	1.21	0.50	-0.6341	2.55	1.04
