days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
30.163194	22.077778	2.125	   NA	11.7745	6.3884	15.6307	2.0987	4.7318	14.2503	13.0251	14.8604	12.1610	13.3019	12.6480	8.6133	7.1541	7.9435	6.4123	11.0709	9.9553	8.1248	5.49	2.45	13.3744	1.01	0.41	8.5249	1.74	0.71
30.288194	22.202778	2.25	   NA	12.2648	6.6817	16.3019	2.2233	4.9480	14.8626	13.5634	15.4984	12.6522	13.8808	13.1760	9.0428	7.4403	8.3146	6.6639	11.5445	10.3826	8.4839	5.71	2.55	13.9389	1.06	0.43	8.8981	1.83	0.75
30.413194	22.327778	2.375	   NA	12.7604	6.9791	16.9747	2.3513	5.1601	15.4726	14.1011	16.1394	13.1452	14.4605	13.7074	9.4746	7.7290	8.6933	6.9193	12.0245	10.8206	8.8451	5.93	2.65	14.5044	1.12	0.46	9.2769	1.91	0.78
30.538194	22.452778	2.5	   NA	13.2613	7.2807	17.6464	2.4779	5.3694	16.0761	14.6376	16.7817	13.6376	15.0416	14.2416	9.9112	8.0177	9.0768	7.1773	12.5095	11.2672	9.2071	6.15	2.75	15.0694	1.17	0.48	9.6600	2.00	0.82
30.663194	22.577778	2.625	   NA	13.7643	7.5869	18.3185	2.6038	5.5771	16.6728	15.1729	17.4239	14.1310	15.6208	14.7764	10.3504	8.3074	9.4683	7.4389	12.9932	11.7184	9.5701	6.37	2.85	15.6330	1.22	0.50	10.0461	2.08	0.85
30.788194	22.702778	2.75	   NA	14.2682	7.8983	18.9919	2.7298	5.7828	17.2675	15.7067	18.0652	14.6273	16.1953	15.3102	10.8130	8.6010	9.8667	7.7056	13.4796	12.1694	9.9342	6.60	2.95	16.1954	1.27	0.52	10.4392	2.17	0.89
30.913194	22.827778	2.875	   NA	14.7840	8.2156	19.6706	2.8571	5.9876	17.8870	16.2498	18.7101	15.1288	16.7737	15.8487	11.2756	8.8986	10.2675	7.9829	13.9707	12.6189	10.3030	6.82	3.05	16.7663	1.33	0.54	10.8357	2.25	0.92
31.038194	22.952778	3	   NA	15.3036	8.5368	20.3503	2.9852	6.1915	18.5060	16.7904	19.3564	15.6307	17.3546	16.3882	11.7474	9.1970	10.6680	8.2639	14.4630	13.0681	10.6735	7.05	3.15	17.3377	1.38	0.56	11.2346	2.34	0.95
31.163194	23.077778	3.125	   NA	15.8147	8.8589	21.0363	3.1132	6.3919	19.0894	17.3147	19.9944	16.1356	17.9284	16.9208	12.2110	9.4958	11.0688	8.5375	14.9527	13.5151	11.0430	7.28	3.26	17.8972	1.43	0.58	11.6302	2.42	0.99
31.288194	23.202778	3.25	   NA	16.3199	9.1804	21.7166	3.2410	6.5887	19.6578	17.8294	20.6206	16.6346	18.4938	17.4452	12.6726	9.7901	11.4700	8.8092	15.4313	13.9554	11.4093	7.50	3.36	18.4469	1.47	0.60	12.0214	2.51	1.02
31.413194	23.327778	3.375	   NA	16.8189	9.5016	22.3869	3.3682	6.7831	20.2257	18.3360	21.2383	17.1248	19.0522	17.9617	13.1265	10.0783	11.8665	9.0782	15.9012	14.3862	11.7717	7.73	3.46	18.9898	1.52	0.62	12.4062	2.59	1.06
31.538194	23.452778	3.5	   NA	17.3113	9.8217	23.0505	3.4947	6.9759	20.7836	18.8359	21.8491	17.6100	19.6052	18.4718	13.5765	10.3623	12.2593	9.3452	16.3657	14.8111	12.1308	7.95	3.55	19.5259	1.56	0.64	12.7867	2.67	1.09
31.663194	23.577778	3.625	   NA	17.7994	10.1400	23.7086	3.6203	7.1667	21.3392	19.3305	22.4548	18.0924	20.1571	18.9766	14.0260	10.6483	12.6536	9.6093	16.8254	15.2391	12.4870	8.16	3.65	20.0584	1.61	0.66	13.1669	2.75	1.12
31.788194	23.702778	3.75	   NA	18.2799	10.4575	24.3593	3.7438	7.3544	21.8928	19.8108	23.0527	18.5695	20.7032	19.4688	14.4765	10.9317	13.0515	9.8735	17.2789	15.6651	12.8390	8.38	3.75	20.5830	1.66	0.68	13.5462	2.82	1.15
31.913194	23.827778	3.875	   NA	18.7589	10.7747	24.9967	3.8664	7.5414	22.4379	20.2884	23.6449	19.0409	21.2458	19.9562	14.9216	11.2099	13.4538	10.1361	17.7273	16.0790	13.1876	8.59	3.84	21.1024	1.70	0.70	13.9213	2.90	1.18
32.038194	23.952778	4	   NA	19.2379	11.0920	25.6340	3.9889	7.7283	22.9830	20.7661	24.2372	19.5124	21.7884	20.4436	15.3661	11.4881	13.8561	10.3988	18.1757	16.4929	13.5362	8.80	3.94	21.6218	1.75	0.71	14.2963	2.98	1.22
32.163194	24.077778	4.125	   NA	19.7168	11.4092	26.2713	4.1115	7.9152	23.5281	21.2438	24.8294	19.9839	22.3310	20.9310	15.8107	11.7662	14.2584	10.6614	18.6241	16.9069	13.8848	9.01	4.03	22.1412	1.79	0.73	14.6713	3.05	1.25
32.288194	24.202778	4.25	   NA	20.1958	11.7265	26.9087	4.2340	8.1021	24.0732	21.7215	25.4217	20.4554	22.8737	21.4184	16.2552	12.0444	14.6608	10.9241	19.0725	17.3208	14.2334	9.22	4.12	22.6606	1.84	0.75	15.0463	3.13	1.28
32.413194	24.327778	4.375	   NA	20.6747	12.0437	27.5460	4.3566	8.2890	24.6183	22.1992	26.0140	20.9269	23.4163	21.9059	16.6997	12.3226	15.0631	11.1867	19.5209	17.7347	14.5820	9.43	4.22	23.1801	1.89	0.77	15.4213	3.21	1.31
32.538194	24.452778	4.5	   NA	21.1537	12.3610	28.1833	4.4791	8.4759	25.1634	22.6768	26.6062	21.3934	23.9589	22.3933	17.1443	12.6008	15.4654	11.4494	19.9693	18.1487	14.9306	9.64	4.31	23.6987	1.94	0.79	15.7963	3.29	1.34
