days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
35.538194	27.452778	7.5	NA	4.8935	2414.967	-6.539	1238.763	2331.5778	-22.087	-22.455	-21.6215	-19.1482	-17.0423	-17.2024	-0.2775	31.2721	439.7995	557.8051	6.3751	8.1379	1196.7325	1187.65	531.13	-19.9261	2.46	1.00	173.8520	254.68	103.97
35.663194	27.577778	7.625	NA	5.4048	2447.9433	-5.8035	1264.7705	2354.8387	-21.3002	-21.8631	-21.1168	-18.3829	-16.1176	-17.2869	-0.0609	29.2904	426.2391	575.6663	6.4343	8.2807	1213.4308	1201.60	537.37	-19.3446	2.40	0.98	174.3083	257.58	105.16
35.788194	27.702778	7.75	NA	4.9479	2469.4707	-5.4916	1291.3488	2378.0996	-20.5688	-21.1294	-20.3323	-17.6528	-15.1964	-17.3589	-0.0632	26.8908	427.1591	586.6546	5.6368	8.8972	1227.6751	1212.99	542.46	-18.7064	2.33	0.95	175.8625	261.49	106.75
35.913194	27.827778	7.875	NA	5.0175	2479.443	-5.7108	1293.7698	2399.8645	-20.4265	-20.9944	-20.6304	-17.6613	-15.8366	-17.0798	-0.1916	30.8232	437.7878	595.3775	5.2478	8.4662	1234.4768	1220.78	545.95	-18.7715	2.18	0.89	179.5851	265.96	108.58
36.038194	27.952778	8	NA	3.4404	2483.247	-5.8208	1311.9199	2402.4106	-20.8869	-21.6446	-20.5464	-18.0797	-14.6872	-15.8756	-0.4528	33.4534	503.1379	603.9421	5.7344	8.3888	1239.0394	1223.03	546.95	-18.6201	2.87	1.17	192.3673	281.81	115.05
36.163194	28.077778	8.125	NA	4.8269	2497.1982	-5.5429	1320.099	2404.9567	-20.6509	-21.8438	-20.9208	-17.3153	-15.8316	-16.2425	-0.653	46.0826	525.2925	606.1799	15.2783	7.8788	1244.3076	1226.89	548.68	-18.8008	2.64	1.08	200.0099	284.88	116.30
36.288194	28.202778	8.25	NA	5.6575	2512.7373	-5.6104	1327.5558	2407.5029	-20.7203	-21.1517	-20.3163	-17.1284	-15.2299	-15.6355	-0.1294	38.6401	529.9445	612.405	16.422	8.2681	1249.5686	1231.39	550.69	-18.3637	2.68	1.09	200.9250	288.27	117.68
36.413194	28.327778	8.375	NA	4.5879	2532.5048	-5.8738	1338.9143	2402.9798	-20.9622	-21.3851	-20.4377	-18.0176	-15.4142	-15.7822	-0.2031	30.4372	536.9957	609.4508	13.0361	8.2585	1254.6226	1235.95	552.73	-18.6665	2.65	1.08	199.6625	290.44	118.57
36.538194	28.452778	8.5	NA	3.6086	2552.8919	-6.3299	1373.6211	2307.6398	-21.31	-21.392	-20.1087	-18.0839	-15.9727	-16.1746	-0.4534	31.7445	535.1398	605.0299	9.5889	7.4898	1246.2863	1220.98	546.04	-18.8403	2.45	1.00	198.0899	289.19	118.06
36.663194	28.577778	8.625	NA	3.7723	2573.2789	-6.8374	1409.8312	2220.8437	-21.6557	-21.6617	-20.502	-17.9657	-16.1373	-16.4482	-1.0767	31.2589	530.4479	604.8254	6.8231	7.0909	1240.1777	1209.48	540.90	-19.0618	2.54	1.04	196.5616	288.60	117.82
