days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
36.288194	28.202778	8.25	NA	48.8783	-17.7995	136.574	-22.302	-21.402	101.305	26.8295	50.4387	77.2832	135.0844	65.8007	97.1653	120.5406	254.9857	16.4644	547.3994	131.4828	24.7898	69.36	31.02	76.1236	38.23	15.61	194.6730	189.11	77.20
36.413194	28.327778	8.375	NA	52.2589	-8.5419	135.3008	3.1586	-7.8442	118.3523	55.0553	24.083	66.4617	107.3091	47.4521	74.0193	130.7996	265.4748	31.272	513.2557	140.6485	34.8664	61.45	27.48	69.7856	36.28	14.81	192.5783	175.92	71.82
36.538194	28.452778	8.5	NA	42.4394	-5.9493	133.3475	-38.6754	-22.7694	124.3357	43.4018	19.1411	56.8329	121.0019	43.7729	73.491	137.3144	267.342	42.176	522.6854	143.6252	21.6786	69.43	31.05	68.0811	44.02	17.97	197.7723	177.00	72.26
36.663194	28.577778	8.625	NA	81.9207	10.5103	117.8999	9.7613	-11.1647	118.7545	49.4446	32.9965	61.349	126.5016	61.2792	93.3704	144.2008	294.6482	39.5001	537.5998	136.1448	41.7855	55.25	24.71	75.0542	38.36	15.66	207.5773	182.71	74.59
36.788194	28.702778	8.75	NA	81.6829	7.4678	108.825	7.6439	-30.7119	114.1073	43.3139	19.1522	66.8735	122.3014	49.3973	123.8511	135.0359	266.5803	40.8334	541.4938	155.0419	34.9815	58.00	25.94	69.1909	41.01	16.74	210.4727	177.63	72.52
36.913194	28.827778	8.875	NA	78.2895	9.7689	122.7801	1.8343	-1.7559	118.1797	41.2671	26.0144	58.4348	160.422	30.8961	91.0085	136.2217	250.5714	18.8144	518.6526	159.9952	42.1834	55.70	24.91	72.5357	54.56	22.27	195.8773	175.71	71.73
37.038194	28.952778	9	NA	57.4649	13.3188	125.0115	-3.9753	-10.4552	114.182	1.602	37.9666	35.4773	81.086	48.4996	83.0689	148.3859	243.6615	22.6461	487.0425	151.3634	36.2729	56.24	25.15	53.1356	39.31	16.05	189.3614	163.57	66.78
37.163194	29.077778	9.125	NA	53.7043	-13.5779	126.1037	-9.6321	-18.2337	109.6895	40.5061	17.5353	18.8886	107.8299	40.0794	64.8417	155.1029	265.2508	30.6393	485.3762	138.5607	27.6729	62.38	27.90	55.7548	42.23	17.24	189.9619	166.03	67.78
37.288194	29.202778	9.25	NA	69.448	24.8245	126.744	-17.0326	-14.1835	100.7804	43.3479	-8.2118	20.304	75.7051	56.6347	88.5964	158.741	238.1989	29.6116	493.3149	133.7491	37.9601	60.81	27.19	48.0934	38.93	15.89	190.3687	163.99	66.95
37.413194	29.327778	9.375	NA	58.0608	23.6045	114.1869	-10.2363	-9.2414	99.1062	31.7274	30.1427	35.5901	86.2469	50.814	75.1329	145.917	235.2981	31.8465	461.418	129.8281	35.2749	52.29	23.38	55.6046	29.91	12.21	179.9068	154.19	62.95
37.538194	29.452778	9.5	NA	40.7504	7.8884	121.0536	-8.3089	4.6723	93.0458	22.8536	38.6169	49.293	84.0624	13.0337	83.3004	146.7295	237.3543	31.1213	462.2534	148.8205	33.2112	52.33	23.40	50.1509	32.39	13.22	184.9299	152.58	62.29
37.663194	29.577778	9.625	NA	27.2313	3.4207	120.3343	-2.3618	-13.1713	73.669	26.5259	43.6386	63.7739	81.4781	54.0457	95.1015	157.794	237.3071	25.4379	461.4273	162.45	27.0906	54.18	24.23	57.1885	20.19	8.24	189.9196	150.86	61.59
37.788194	29.702778	9.75	NA	46.8145	58.8245	107.2125	-8.3256	-28.5999	66.9251	29.6352	12.964	65.1777	98.3782	26.092	106.1217	150.1454	194.224	21.765	450.4605	137.993	35.1852	54.41	24.33	49.8620	32.30	13.18	176.7849	145.91	59.57
37.913194	29.827778	9.875	NA	35.5876	24.5306	113.3092	20.0103	-42.9103	56.791	41.1664	-18.0513	53.2548	81.1063	36.9201	91.9442	132.787	167.7347	29.4361	454.6894	133.6543	30.1055	55.72	24.92	41.8646	33.19	13.55	168.3743	148.05	60.44
38.038194	29.952778	10	NA	33.9348	5.059	120.0169	9.3741	-41.0446	72.2191	41.4192	7.1695	42.2998	43.4041	22.8007	55.844	111.2611	173.6238	25.9659	448.912	126.6765	25.4680	59.39	26.56	38.2187	21.96	8.97	157.0472	152.25	62.16
38.163194	30.077778	10.125	NA	37.7437	17.1507	127.4074	-1.7238	-17.5249	74.5453	66.1915	10.6924	33.1164	41.5426	30.6005	65.7337	87.3797	157.2374	5.6319	439.848	140.6936	32.6106	56.89	25.44	42.7814	23.79	9.71	149.4207	152.32	62.19
38.288194	30.202778	10.25	NA	66.3666	28.0193	148.02	-12.6768	-14.0221	82.7461	32.3379	-17.1731	22.8216	67.7241	26.6334	73.4978	95.447	162.349	-3.92	430.7542	134.8281	43.1414	67.36	30.13	35.8483	35.48	14.48	148.8260	149.48	61.02
38.413194	30.327778	10.375	NA	43.1429	31.2607	144.0539	-1.7634	-6.6963	90.3194	40.5365	16.4295	28.4424	72.4863	38.7163	74.4897	131.8194	176.3492	-7.6559	458.3862	106.0126	41.9996	60.87	27.22	47.8217	27.97	11.42	156.5669	160.22	65.41
38.538194	30.452778	10.5	NA	46.3662	19.9046	135.6244	-49.1184	-29.0298	77.9527	30.3814	-0.403	17.9271	49.3272	31.7061	83.4885	101.838	178.7313	1.2758	455.9819	103.9854	24.7494	72.69	32.51	34.4819	26.93	10.99	154.2168	158.32	64.63
38.663194	30.577778	10.625	NA	51.3435	16.5773	143.9473	-34.5368	-19.3966	69.5274	29.1617	2.6301	28.9353	80.1314	32.8561	109.765	119.1402	142.8762	12.8269	438.3393	116.4484	31.5869	71.08	31.79	40.5403	28.87	11.79	156.5660	145.22	59.29
38.788194	30.702778	10.75	NA	67.1962	14.718	177.9423	-6.9631	-13.0984	62.265	18.4179	9.839	45.676	69.3021	34.0061	109.81	130.6391	131.7031	-13.3739	435.3257	109.4907	47.9590	79.24	35.44	39.9177	23.66	9.66	150.5991	149.71	61.12
38.913194	30.827778	10.875	NA	69.7768	9.7143	170.2589	2.567	-0.4787	71.7698	3.869	10.1324	24.0202	61.9299	29.1093	109.855	110.8052	131.154	-14.7342	433.4537	93.7896	50.3677	72.93	32.61	33.4718	27.59	11.26	144.0539	150.95	61.63
39.038194	30.952778	11	NA	59.0732	-5.3078	135.6414	-30.2	20.2228	72.8893	-8.7622	-14.84	20.6248	63.71	15.3493	95.0548	105.5638	132.5563	5.196	397.447	96.0407	35.8859	64.80	28.98	24.8285	36.42	14.87	138.6431	133.89	54.66
39.163194	31.077778	11.125	NA	42.1113	-2.2255	162.0416	-14.9173	-24.5414	53.688	39.8492	8.4693	19.1998	42.8768	5.7659	80.0402	121.0486	122.5283	13.0129	422.8059	95.8718	32.4937	76.78	34.34	28.3082	19.87	8.11	142.5513	143.02	58.39
39.288194	31.202778	11.25	NA	55.6168	4.7815	158.1953	-16.0469	8.6203	40.1277	21.2846	22.7887	24.6841	54.4306	16.2437	117.6455	119.3717	125.4637	-5.0297	442.4523	92.4834	42.2334	69.92	31.27	29.9266	14.46	5.90	148.7311	151.95	62.03
39.413194	31.327778	11.375	NA	63.616	11.3709	177.3961	-29.3367	-28.1483	44.8493	2.9626	1.2198	16.6415	66.1029	-4.6609	119.8144	89.8894	117.657	3.3703	435.7673	88.0406	38.9796	86.17	38.54	21.1859	28.27	11.54	142.4232	149.82	61.16
39.538194	31.452778	11.5	NA	54.3329	10.2693	185.1609	-13.705	8.8892	49.5366	7.3247	-26.6627	12.4511	77.0263	-19.7053	126.9808	85.209	87.6848	11.904	461.4121	92.6545	48.9895	80.01	35.78	16.6618	40.07	16.36	144.3075	159.85	65.26
39.663194	31.577778	11.625	NA	83.0375	1.5284	191.5432	-25.1382	-4.6559	40.7181	23.8839	2.4479	3.8519	87.9497	-0.0934	101.0625	91.0436	76.0128	-26.5713	453.2272	103.0259	49.2630	89.59	40.07	26.4597	34.01	13.88	132.9668	164.28	67.07
39.788194	31.702778	11.75	NA	76.402	-1.6407	191.2653	-13.9198	-19.7084	50.3881	39.4276	8.808	14.4148	70.8584	25.2583	108.4918	89.0032	73.7965	-15.7681	451.2366	114.9227	46.4797	89.73	40.13	34.8592	23.44	9.57	136.9471	161.05	65.75
39.913194	31.827778	11.875	NA	69.7665	31.7104	195.9788	-29.8483	26.8644	44.7129	41.1938	0.1484	41.6528	61.0631	28.6434	116.013	80.2313	100.3375	-5.7865	455.4191	128.317	58.8944	84.48	37.78	36.2357	20.50	8.37	145.7552	159.00	64.91
40.038194	31.952778	12	NA	62.8211	24.0172	194.2687	-13.0542	3.6072	46.2578	31.273	1.5041	21.4912	51.738	-13.1112	90.6843	64.1344	76.3931	5.7012	457.6422	114.4573	54.3320	83.20	37.21	23.1922	25.31	10.33	134.8354	162.27	66.25
40.163194	32.077778	12.125	NA	49.9971	13.9022	184.5291	-21.9356	-1.7371	45.7829	-3.4732	-9.0256	17.9695	67.3662	-0.8096	128.0942	62.2941	67.6773	21.2408	469.7669	112.3472	44.9511	82.35	36.83	19.6350	30.78	12.57	143.5701	164.29	67.07
40.288194	32.202778	12.25	NA	79.5214	11.7993	170.5511	0.2902	-3.2999	38.4763	22.6474	-31.1908	40.732	62.6561	45.7725	154.081	76.4854	86.8576	7.829	445.8417	119.0748	51.7724	74.43	33.29	29.8489	32.56	13.29	148.3616	153.68	62.74
40.413194	32.327778	12.375	NA	67.6629	5.9972	172.2653	-14.4974	14.4292	29.8509	48.1467	-15.6096	44.9995	54.427	27.1323	153.9723	82.104	67.4806	0.5973	425.5443	114.5208	49.1714	75.20	33.63	31.4911	25.40	10.37	140.7032	148.61	60.67
40.538194	32.452778	12.5	NA	66.1809	41.0412	180.2297	-13.2285	5.0391	37.5243	27.7167	14.0832	25.3063	52.458	20.2084	132.4183	78.4198	67.1305	8.3297	448.8186	109.9667	55.8525	76.08	34.02	29.5495	13.68	5.59	140.8473	156.69	63.97
40.663194	32.577778	12.625	NA	64.6989	2.6371	182.1051	-7.245	13.6004	24.2672	28.112	13.8626	16.5025	57.504	42.8235	119.5842	77.7534	76.3091	-4.9666	453.5758	99.4808	51.1593	78.27	35.00	30.5120	16.72	6.83	136.9561	160.80	65.65
