days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
6.5	-1.585417	-21.538194	   NA	1.6803	3.6917	2.5555	2.0046	3.8373	15.3022	6.2033	21.6242	8.7127	12.7695	14.6920	1.3574	-9.3878	3.6057	3.4893	2.0474	-15.5978	2.7539	0.98	0.44	13.2173	5.42	2.21	-2.4143	8.10	3.30
6.625	-1.460417	-21.413194	   NA	1.6865	3.7110	2.5674	2.0156	3.8547	15.3759	6.2356	21.7234	8.7643	12.8306	14.7599	1.3637	-9.3530	3.6218	3.5058	2.0591	-15.5930	2.7670	0.98	0.44	13.2816	5.44	2.22	-2.3993	8.09	3.30
6.75	-1.335417	-21.288194	   NA	1.6930	3.7314	2.5794	2.0268	3.8723	15.4493	6.2681	21.8229	8.8162	12.8943	14.8282	1.3703	-9.3193	3.6377	3.5224	2.0703	-15.5884	2.7806	0.99	0.44	13.3465	5.46	2.23	-2.3845	8.09	3.30
6.875	-1.210417	-21.163194	   NA	1.6994	3.7514	2.5915	2.0376	3.8902	15.5220	6.3004	21.9221	8.8683	12.9575	14.8946	1.3770	-9.2860	3.6537	3.5387	2.0810	-15.5837	2.7940	0.99	0.44	13.4108	5.49	2.24	-2.3699	8.09	3.30
7	-1.085417	-21.038194	   NA	1.7055	3.7697	2.6036	2.0484	3.9079	15.5947	6.3325	22.0209	8.9206	13.0185	14.9583	1.3835	-9.2524	3.6695	3.5549	2.0915	-15.5788	2.8070	1.00	0.45	13.4742	5.51	2.25	-2.3553	8.09	3.30
7.125	-0.960417	-20.913194	   NA	1.7114	3.7881	2.6155	2.0585	3.9256	15.6676	6.3651	22.1188	8.9728	13.0783	15.0207	1.3901	-9.2194	3.6850	3.5710	2.1019	-15.5738	2.8198	1.00	0.45	13.5372	5.53	2.26	-2.3409	8.09	3.30
7.25	-0.835417	-20.788194	   NA	1.7172	3.8067	2.6267	2.0685	3.9433	15.7410	6.3989	22.2170	9.0251	13.1376	15.0821	1.3967	-9.1873	3.7002	3.5868	2.1124	-15.5687	2.8325	1.01	0.45	13.6003	5.55	2.27	-2.3266	8.09	3.30
7.375	-0.710417	-20.663194	   NA	1.7233	3.8257	2.6374	2.0785	3.9610	15.8157	6.4346	22.3164	9.0778	13.1967	15.1434	1.4030	-9.1553	3.7159	3.6017	2.1233	-15.5636	2.8452	1.01	0.45	13.6641	5.57	2.27	-2.3125	8.09	3.30
7.5	-0.585417	-20.538194	   NA	1.7297	3.8448	2.6480	2.0889	3.9792	15.8923	6.4720	22.4167	9.1313	13.2556	15.2052	1.4094	-9.1235	3.7322	3.6165	2.1341	-15.5582	2.8581	1.02	0.45	13.7288	5.59	2.28	-2.2983	8.09	3.30
7.625	-0.460417	-20.413194	   NA	1.7364	3.8640	2.6596	2.0997	3.9977	15.9714	6.5106	22.5173	9.1868	13.3153	15.2658	1.4163	-9.0920	3.7477	3.6322	2.1452	-15.5525	2.8715	1.02	0.46	13.7945	5.61	2.29	-2.2838	8.09	3.30
7.75	-0.335417	-20.288194	   NA	1.7432	3.8817	2.6721	2.1098	4.0159	16.0533	6.5500	22.6163	9.2433	13.3743	15.3253	1.4237	-9.0620	3.7631	3.6488	2.1557	-15.5481	2.8845	1.03	0.46	13.8604	5.63	2.30	-2.2698	8.09	3.30
7.875	-0.210417	-20.163194	   NA	1.7496	3.8991	2.6844	2.1200	4.0340	16.1366	6.5964	22.7141	9.2989	13.4328	15.3846	1.4310	-9.0331	3.7780	3.6656	2.1657	-15.5441	2.8974	1.03	0.46	13.9272	5.65	2.31	-2.2562	8.09	3.30
8	-0.085417	-20.038194	   NA	1.7552	3.9178	2.7048	2.1309	4.0518	16.2155	6.6609	22.8116	9.3523	13.4914	15.4438	1.4414	-9.0037	3.7930	3.6827	2.1761	-15.5392	2.9121	1.04	0.46	13.9959	5.66	2.31	-2.2416	8.09	3.30
8.085417	0	-19.952778	   NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	0.00	0.0000	0.00	0.00	0.0000	0.00	0.00
8.210417	0.125	-19.827778	   NA	0.0077	0.0163	0.0420	0.0110	0.0108	0.0737	0.1099	0.1222	0.0520	0.0920	0.0643	0.0282	0.0599	0.0118	0.0202	0.0069	0.0066	0.0176	0.01	0.01	0.0857	0.03	0.01	0.0223	0.02	0.01
8.335417	0.25	-19.702778	   NA	0.0174	0.0374	0.0850	0.0224	0.0184	0.1585	0.2377	0.2549	0.1052	0.2125	0.1474	0.0585	0.1247	0.0228	0.0417	0.0131	0.0142	0.0361	0.03	0.01	0.1860	0.06	0.02	0.0458	0.04	0.02
8.460417	0.375	-19.577778	   NA	0.0294	0.0728	0.1334	0.0350	0.0246	0.2531	0.3726	0.4065	0.1616	0.3816	0.2751	0.0942	0.2182	0.0319	0.0635	0.0177	0.0263	0.0590	0.05	0.02	0.3084	0.09	0.04	0.0753	0.08	0.03
8.585417	0.5	-19.452778	   NA	0.0419	0.1174	0.1846	0.0475	0.0321	0.3574	0.5070	0.5504	0.2222	0.5747	0.4408	0.1322	0.3110	0.0419	0.0843	0.0234	0.0409	0.0847	0.07	0.03	0.4421	0.13	0.05	0.1056	0.11	0.04
8.710417	0.625	-19.327778	   NA	0.0533	0.1542	0.2336	0.0574	0.0399	0.4640	0.6279	0.6746	0.2833	0.7671	0.6152	0.1674	0.3932	0.0517	0.1032	0.0286	0.0537	0.1077	0.08	0.04	0.5720	0.17	0.07	0.1330	0.14	0.06
8.835417	0.75	-19.202778	   NA	0.0626	0.1816	0.2801	0.0655	0.0470	0.5683	0.7265	0.7828	0.3407	0.9444	0.7767	0.1987	0.4612	0.0602	0.1167	0.0327	0.0634	0.1274	0.10	0.05	0.6899	0.21	0.09	0.1555	0.16	0.07
8.960417	0.875	-19.077778	   NA	0.0698	0.2049	0.3243	0.0725	0.0532	0.6642	0.8057	0.8842	0.3923	1.1071	0.9155	0.2260	0.5274	0.0688	0.1293	0.0365	0.0726	0.1449	0.12	0.05	0.7948	0.24	0.10	0.1768	0.18	0.08
9.085417	1	-18.952778	   NA	0.0759	0.2206	0.3675	0.0778	0.0584	0.7483	0.8721	0.9704	0.4396	1.2636	1.0427	0.2494	0.5831	0.0774	0.1420	0.0398	0.0790	0.1600	0.13	0.06	0.8895	0.28	0.11	0.1951	0.20	0.08
9.210417	1.125	-18.827778	   NA	0.0815	0.2348	0.4102	0.0826	0.0627	0.8230	0.9308	1.0509	0.4832	1.4180	1.1601	0.2698	0.6365	0.0859	0.1546	0.0430	0.0853	0.1744	0.15	0.07	0.9777	0.32	0.13	0.2125	0.22	0.09
9.335417	1.25	-18.702778	   NA	0.0865	0.2490	0.4532	0.0871	0.0668	0.8921	0.9870	1.1271	0.5247	1.5704	1.2659	0.2877	0.6904	0.0945	0.1673	0.0457	0.0925	0.1885	0.17	0.07	1.0612	0.35	0.14	0.2297	0.24	0.10
9.460417	1.375	-18.577778	   NA	0.0911	0.2640	0.4979	0.0919	0.0711	0.9583	1.0432	1.2003	0.5650	1.7203	1.3674	0.3049	0.7438	0.1031	0.1799	0.0485	0.1010	0.2032	0.18	0.08	1.1424	0.39	0.16	0.2469	0.26	0.11
9.585417	1.5	-18.452778	   NA	0.0958	0.2794	0.5438	0.0973	0.0754	1.0221	1.0975	1.2707	0.6041	1.8682	1.4663	0.3207	0.7929	0.1116	0.1925	0.0516	0.1102	0.2183	0.20	0.09	1.2215	0.43	0.17	0.2633	0.28	0.11
9.710417	1.625	-18.327778	   NA	0.1004	0.2944	0.5890	0.1027	0.0793	1.0847	1.1478	1.3378	0.6417	2.0137	1.5618	0.3353	0.8358	0.1202	0.2052	0.0548	0.1187	0.2332	0.22	0.10	1.2979	0.47	0.19	0.2783	0.29	0.12
9.835417	1.75	-18.202778	   NA	0.1046	0.3077	0.6340	0.1072	0.0828	1.1451	1.1927	1.3990	0.6771	2.1527	1.6521	0.3485	0.8719	0.1288	0.2178	0.0571	0.1253	0.2473	0.23	0.10	1.3698	0.50	0.20	0.2916	0.30	0.12
9.960417	1.875	-18.077778	   NA	0.1082	0.3194	0.6771	0.1107	0.0861	1.2019	1.2321	1.4539	0.7105	2.2832	1.7358	0.3604	0.9035	0.1373	0.2304	0.0591	0.1300	0.2603	0.25	0.11	1.4362	0.53	0.22	0.3034	0.31	0.13
