days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
18.210417	10.125	-9.827778	   NA	-0.7776	3.0242	-1.6246	3.9942	14.4761	-3.1647	-3.4781	-4.4339	-3.2068	-3.1342	-2.9381	-0.3177	0.3802	0.4060	1.7226	0.1111	0.0300	3.8185	6.42	2.87	-3.3926	0.54	0.22	0.3887	0.70	0.29
18.335417	10.25	-9.702778	   NA	-0.7873	3.1631	-1.6459	4.1784	15.0480	-3.2171	-3.5346	-4.5001	-3.2532	-3.1822	-2.9782	-0.3213	0.3939	0.4203	1.8058	0.1149	0.0336	3.9913	6.66	2.98	-3.4442	0.55	0.22	0.4079	0.74	0.30
18.460417	10.375	-9.577778	   NA	-0.7972	3.3065	-1.6695	4.3738	15.6363	-3.2707	-3.5917	-4.5660	-3.2998	-3.2311	-3.0182	-0.3249	0.4076	0.4341	1.8921	0.1184	0.0365	4.1700	6.91	3.09	-3.4963	0.56	0.23	0.4273	0.77	0.31
18.585417	10.5	-9.452778	   NA	-0.8068	3.4558	-1.6937	4.5711	16.2455	-3.3262	-3.6503	-4.6319	-3.3478	-3.2810	-3.0580	-0.3308	0.4225	0.4495	1.9789	0.1216	0.0395	4.3544	7.17	3.21	-3.5492	0.56	0.23	0.4469	0.80	0.33
18.710417	10.625	-9.327778	   NA	-0.8163	3.6127	-1.7177	4.7690	16.8753	-3.3819	-3.7094	-4.6989	-3.3961	-3.3306	-3.0985	-0.3374	0.4369	0.4656	2.0680	0.1254	0.0430	4.5446	7.43	3.32	-3.6026	0.57	0.23	0.4669	0.84	0.34
18.835417	10.75	-9.202778	   NA	-0.8258	3.7759	-1.7403	4.9680	17.5245	-3.4370	-3.7672	-4.7667	-3.4444	-3.3795	-3.1391	-0.3433	0.4512	0.4817	2.1576	0.1305	0.0474	4.7405	7.70	3.45	-3.6557	0.58	0.24	0.4875	0.87	0.36
18.960417	10.875	-9.077778	   NA	-0.8354	3.9432	-1.7623	5.1753	18.1956	-3.4918	-3.8248	-4.8343	-3.4920	-3.4281	-3.1794	-0.3486	0.4665	0.4985	2.2494	0.1362	0.0520	4.9433	7.98	3.57	-3.7084	0.59	0.24	0.5090	0.91	0.37
19.085417	11	-8.952778	   NA	-0.8451	4.1158	-1.7864	5.3894	18.8880	-3.5465	-3.8828	-4.9013	-3.5411	-3.4777	-3.2204	-0.3542	0.4819	0.5162	2.3425	0.1408	0.0557	5.1523	8.28	3.70	-3.7616	0.60	0.24	0.5305	0.94	0.38
19.210417	11.125	-8.827778	   NA	-0.8543	4.2953	-1.8103	5.6138	19.6023	-3.6015	-3.9412	-4.9678	-3.5913	-3.5281	-3.2620	-0.3604	0.4983	0.5352	2.4368	0.1455	0.0585	5.3694	8.57	3.83	-3.8153	0.60	0.25	0.5523	0.98	0.40
19.335417	11.25	-8.702778	   NA	-0.8628	4.4838	-1.8328	5.8491	20.3425	-3.6568	-4.0007	-5.0351	-3.6402	-3.5780	-3.3034	-0.3660	0.5164	0.5555	2.5329	0.1512	0.0619	5.5960	8.88	3.97	-3.8690	0.61	0.25	0.5753	1.02	0.41
19.460417	11.375	-8.577778	   NA	-0.8719	4.6839	-1.8566	6.0874	21.1060	-3.7140	-4.0614	-5.1038	-3.6895	-3.6284	-3.3454	-0.3718	0.5379	0.5761	2.6316	0.1567	0.0652	5.8298	9.20	4.12	-3.9238	0.62	0.25	0.5993	1.05	0.43
19.585417	11.5	-8.452778	   NA	-0.8822	4.8899	-1.8807	6.3248	21.8898	-3.7736	-4.1234	-5.1730	-3.7407	-3.6800	-3.3881	-0.3777	0.5603	0.5980	2.7354	0.1612	0.0683	6.0683	9.53	4.26	-3.9798	0.63	0.26	0.6242	1.09	0.45
19.710417	11.625	-8.327778	   NA	-0.8931	5.1021	-1.9047	6.5648	22.7141	-3.8331	-4.1864	-5.2424	-3.7932	-3.7317	-3.4308	-0.3830	0.5870	0.6218	2.8438	0.1659	0.0718	6.3166	9.87	4.42	-4.0363	0.64	0.26	0.6512	1.14	0.46
19.835417	11.75	-8.202778	   NA	-0.9038	5.3268	-1.9287	6.8094	23.5798	-3.8927	-4.2490	-5.3126	-3.8451	-3.7825	-3.4738	-0.3893	0.6164	0.6460	2.9536	0.1712	0.0757	6.5767	10.24	4.58	-4.0926	0.65	0.26	0.6789	1.18	0.48
19.960417	11.875	-8.077778	   NA	-0.9141	5.5606	-1.9520	7.0601	24.4633	-3.9526	-4.3109	-5.3833	-3.8958	-3.8328	-3.5167	-0.3963	0.6399	0.6730	3.0654	0.1766	0.0787	6.8436	10.60	4.74	-4.1487	0.66	0.27	0.7062	1.22	0.50
20.085417	12	-7.952778	   NA	-0.9243	5.8029	-1.9756	7.3164	25.3777	-4.0111	-4.3730	-5.4543	-3.9455	-3.8840	-3.5598	-0.4021	0.6607	0.7016	3.1826	0.1826	0.0824	7.1194	10.98	4.91	-4.2046	0.67	0.27	0.7346	1.27	0.52
20.210417	12.125	-7.827778	   NA	-0.9342	6.0534	-2.0009	7.5829	26.3279	-4.0693	-4.4354	-5.5250	-3.9956	-3.9365	-3.6036	-0.4075	0.6809	0.7293	3.3020	0.1880	0.0873	7.4058	11.38	5.09	-4.2609	0.67	0.28	0.7633	1.31	0.54
20.335417	12.25	-7.702778	   NA	-0.9439	6.3114	-2.0264	7.8669	27.2935	-4.1276	-4.4987	-5.5949	-4.0461	-3.9894	-3.6474	-0.4138	0.7014	0.7583	3.4226	0.1930	0.0923	7.7003	11.78	5.27	-4.3174	0.68	0.28	0.7923	1.36	0.55
20.460417	12.375	-7.577778	   NA	-0.9533	6.5792	-2.0509	8.1639	28.2717	-4.1875	-4.5628	-5.6658	-4.0992	-4.0426	-3.6914	-0.4204	0.7223	0.7890	3.5496	0.1988	0.0981	8.0021	12.19	5.45	-4.3749	0.69	0.28	0.8229	1.41	0.57
20.585417	12.5	-7.452778	   NA	-0.9621	6.8566	-2.0762	8.4678	29.2758	-4.2486	-4.6274	-5.7386	-4.1539	-4.0970	-3.7367	-0.4269	0.7433	0.8194	3.6807	0.2037	0.1030	8.3124	12.61	5.64	-4.4337	0.70	0.29	0.8539	1.46	0.60
20.710417	12.625	-7.327778	   NA	-0.9710	7.1474	-2.1032	8.7794	30.3154	-4.3100	-4.6920	-5.8121	-4.2071	-4.1521	-3.7828	-0.4326	0.7652	0.8504	3.8118	0.2085	0.1069	8.6336	13.04	5.83	-4.4927	0.71	0.29	0.8850	1.51	0.62
20.835417	12.75	-7.202778	   NA	-0.9808	7.4506	-2.1295	9.0996	31.4001	-4.3709	-4.7560	-5.8842	-4.2597	-4.2066	-3.8288	-0.4385	0.7871	0.8835	3.9439	0.2156	0.1118	8.9680	13.49	6.03	-4.5510	0.72	0.29	0.9172	1.56	0.64
20.960417	12.875	-7.077778	   NA	-0.9911	7.8306	-2.1542	9.4901	32.8287	-4.4316	-4.8202	-5.9551	-4.3129	-4.2607	-3.8741	-0.4450	0.8096	0.9247	4.0916	0.2238	0.1171	9.4008	14.08	6.30	-4.6091	0.73	0.30	0.9536	1.62	0.66
21.085417	13	-6.952778	   NA	-1.0000	8.3442	-2.1764	9.9719	34.5196	-4.4927	-4.8849	-6.0254	-4.3663	-4.3145	-3.9189	-0.4510	0.8391	0.9841	4.3188	0.2332	0.1235	9.9319	14.77	6.61	-4.6671	0.73	0.30	1.0079	1.70	0.70
21.210417	13.125	-6.827778	   NA	-1.0078	8.8579	-2.1984	10.4538	36.2105	-4.5539	-4.9495	-6.0957	-4.4196	-4.3682	-3.9637	-0.4567	0.8686	1.0436	4.5630	0.2425	0.1300	10.4632	15.47	6.92	-4.7251	0.74	0.30	1.0652	1.80	0.73
21.335417	13.25	-6.702778	   NA	-1.0156	9.3715	-2.2205	10.9357	37.9015	-4.6151	-5.0142	-6.1660	-4.4730	-4.4220	-4.0085	-0.4625	0.8982	1.1031	4.8073	0.2519	0.1364	10.9945	16.17	7.23	-4.7831	0.75	0.31	1.1224	1.89	0.77
21.460417	13.375	-6.577778	   NA	-1.0234	9.8851	-2.2425	11.4175	39.5924	-4.6763	-5.0789	-6.2363	-4.5264	-4.4758	-4.0533	-0.4682	0.9277	1.1626	5.0516	0.2612	0.1428	11.5258	16.86	7.54	-4.8412	0.76	0.31	1.1796	1.98	0.81
