CORE	Column	Row	Number	treatment	location	pre_translocated	newColumn	newRow	newNumber	newLabel	newOrder	code	days.origin	days.water	days.manure	cumNO	cumN2O	cumCO2	cumCH4	cumNH3	cumH2O
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	6.835417	-1.250000	-21.202778	0.6618	1.8458	11.1485	-2.5615	3.1973	20.3304
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	6.960417	-1.125000	-21.077778	0.6738	1.9121	11.3384	-2.6067	3.2711	20.6961
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.085417	-1.000000	-20.952778	0.6859	1.9553	11.5265	-2.6516	3.3464	21.0631
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.210417	-0.875000	-20.827778	0.6974	1.9723	11.7113	-2.6958	3.4219	21.4321
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.335417	-0.750000	-20.702778	0.7081	1.9762	11.8908	-2.7405	3.4969	21.8017
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.460417	-0.625000	-20.577778	0.7187	1.9686	12.0628	-2.7860	3.5730	22.1714
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.585417	-0.500000	-20.452778	0.7299	1.9587	12.2279	-2.8324	3.6505	22.5395
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.710417	-0.375000	-20.327778	0.7422	2.0006	12.3919	-2.8788	3.7287	22.9054
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.835417	-0.250000	-20.202778	0.7547	2.0563	12.5610	-2.9246	3.8096	23.2705
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.960417	-0.125000	-20.077778	0.7704	2.0463	12.7784	-2.9663	3.8933	23.6423
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	8.085417	0.000000	-19.952778	0.8022	1.9918	13.1684	-2.9895	3.9766	24.0379
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	8.210417	0.125000	-19.827778	0.8442	2.1406	13.7890	-3.0014	4.0601	24.4409
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	8.335417	0.250000	-19.702778	0.8872	3.1828	14.4002	-3.0139	4.1543	24.8669
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	8.460417	0.375000	-19.577778	0.9356	6.3171	14.8772	-3.0266	4.2613	25.3357
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	8.585417	0.500000	-19.452778	0.9868	11.6212	15.3523	-3.0424	4.3708	25.8080
