CORE	Column	Row	Number	treatment	location	pre_translocated	newColumn	newRow	newNumber	newLabel	newOrder	code	days.origin	days.water	days.manure	cumNO	cumN2O	cumCO2	cumCH4	cumNH3	cumH2O
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	6.788194	-1.297222	-21.250000	0.6572	1.8190	11.0769	-2.5444	3.1698	20.1923
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	6.913194	-1.172222	-21.125000	0.6692	1.8913	11.2669	-2.5896	3.2428	20.5578
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.038194	-1.047222	-21.000000	0.6814	1.9454	11.4560	-2.6349	3.3177	20.9238
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.163194	-0.922222	-20.875000	0.6933	1.9702	11.6424	-2.6790	3.3936	21.2927
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.288194	-0.797222	-20.750000	0.7042	1.9747	11.8244	-2.7234	3.4684	21.6619
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.413194	-0.672222	-20.625000	0.7147	1.9786	11.9997	-2.7686	3.5437	22.0320
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.538194	-0.547222	-20.500000	0.7254	1.9506	12.1663	-2.8147	3.6214	22.4010
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.663194	-0.422222	-20.375000	0.7374	1.9744	12.3291	-2.8615	3.6985	22.7676
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.788194	-0.297222	-20.250000	0.7501	2.0458	12.4956	-2.9072	3.7784	23.1323
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	7.913194	-0.172222	-20.125000	0.7621	2.0592	12.6708	-2.9532	3.8617	23.4983
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	8.038194	-0.047222	-20.000000	0.7872	2.0126	12.9901	-2.9842	3.9452	23.8845
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	8.163194	0.077778	-19.875000	0.8283	2.0844	13.5545	-2.9969	4.0285	24.2887
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	8.288194	0.202778	-19.750000	0.8709	2.7834	14.1694	-3.0091	4.1187	24.7058
