days.origin	days.water	days.manure	code	NO	N2O	CO2	CH4	NH3	H2O
40.913194	32.827778	12.875	GWL03	3.6720	25.2672	161.6083	763.8778	103.1276	12479.2955
41.038194	32.952778	13	GWL03	3.6160	16.9268	159.3893	812.3387	101.1835	12410.5675
41.163194	33.077778	13.125	GWL03	3.6483	47.5453	161.0869	807.0592	97.4280	10712.9925
41.288194	33.202778	13.25	GWL03	3.6258	54.6629	163.7889	770.0214	97.1782	11703.6122
41.413194	33.327778	13.375	GWL03	3.4777	59.7041	163.0863	764.1121	95.0231	11470.8159
41.538194	33.452778	13.5	GWL03	3.3601	66.9094	161.1789	733.5413	92.3369	10564.3448
41.663194	33.577778	13.625	GWL03	3.4070	47.3868	161.5341	716.6965	92.7831	12159.8138
41.788194	33.702778	13.75	GWL03	3.4379	73.7533	161.8810	716.0171	91.3223	12373.7017
41.913194	33.827778	13.875	GWL03	3.2857	96.2277	161.0789	711.8122	91.6046	11921.4517
42.038194	33.952778	14	GWL03	3.2108	59.8807	164.3205	710.3216	90.3612	10952.0494
42.163194	34.077778	14.125	GWL03	3.3253	32.2296	168.0445	713.7860	89.5178	11504.4935
42.288194	34.202778	14.25	GWL03	3.3710	42.8197	169.0673	714.6224	88.6219	11367.9811
42.413194	34.327778	14.375	GWL03	3.2515	48.2777	165.9075	707.2567	87.1136	10660.4750
42.538194	34.452778	14.5	GWL03	3.2059	55.4005	166.0787	694.0066	87.6083	11750.7594
42.663194	34.577778	14.625	GWL03	3.1989	35.0897	172.3798	669.0009	83.8117	10912.5693
42.788194	34.702778	14.75	GWL03	3.0608	35.7158	171.6681	675.7003	82.3706	11321.4522
42.913194	34.827778	14.875	GWL03	2.9227	32.6074	167.8366	675.7037	83.0777	12449.7500
43.038194	34.952778	15	GWL03	3.0717	21.2269	166.0893	639.8827	80.8243	12124.5590
43.163194	35.077778	15.125	GWL03	3.2348	22.5791	168.1075	628.6230	77.6857	10691.7747
43.288194	35.202778	15.25	GWL03	3.2633	34.2425	167.6351	615.1061	75.9159	10375.0967
43.413194	35.327778	15.375	GWL03	3.5755	55.1994	167.0832	619.7359	75.3561	11316.6486
43.538194	35.452778	15.5	GWL03	3.7042	65.7255	167.2676	610.0179	72.6914	10592.2117
43.663194	35.577778	15.625	GWL03	3.5644	57.8016	165.8740	568.3881	71.1927	10316.1881
43.788194	35.702778	15.75	GWL03	3.3774	18.3871	165.4625	568.0867	71.0321	10690.0031
43.913194	35.827778	15.875	GWL03	3.2708	4.9830	166.5893	624.8416	69.9863	10682.4258
44.038194	35.952778	16	GWL03	3.3130	34.5370	168.2382	649.8888	69.0231	10823.4938
44.163194	36.077778	16.125	GWL03	3.3552	62.6055	168.7350	610.7613	69.2960	11528.4403
44.288194	36.202778	16.25	GWL03	3.3973	51.8448	168.4101	589.6688	69.5401	11540.9724
44.413194	36.327778	16.375	GWL03	3.4425	40.3818	168.8996	601.3027	67.4729	9752.9325
44.538194	36.452778	16.5	GWL03	3.4008	36.1919	169.4296	720.4377	69.1883	10994.6139
44.663194	36.577778	16.625	GWL03	4.7478	19.9199	166.5140	768.0614	71.0502	12638.3477
44.788194	36.702778	16.75	GWL03	4.5366	31.0969	164.1157	696.4184	70.5990	12776.8783
44.913194	36.827778	16.875	GWL03	2.6458	49.1503	167.8666	693.7260	68.5371	11869.2635
45.038194	36.952778	17	GWL03	2.6670	37.2752	167.8042	631.3134	66.9576	11946.2413
45.163194	37.077778	17.125	GWL03	2.6232	17.5605	170.6549	596.4656	65.6374	11280.1278
45.288194	37.202778	17.25	GWL03	2.7275	32.2999	171.6623	581.5476	64.2553	10784.7591
45.413194	37.327778	17.375	GWL03	2.7486	41.7475	169.3928	539.8178	63.9910	12055.6882
45.538194	37.452778	17.5	GWL03	2.8748	42.1037	168.4813	539.0515	62.0287	11273.7027
45.663194	37.577778	17.625	GWL03	3.5449	54.1144	166.2910	571.2394	62.2218	11864.9184
45.788194	37.702778	17.75	GWL03	3.2550	61.4194	165.0209	582.4011	62.7938	12378.0354
45.913194	37.827778	17.875	GWL03	2.4365	52.3184	163.0817	581.0564	60.4677	10642.2337
46.038194	37.952778	18	GWL03	2.5314	38.3041	162.6537	565.3521	60.4694	12220.8589
46.163194	38.077778	18.125	GWL03	2.5136	35.3782	167.8142	559.5802	60.4995	12806.8531
46.288194	38.202778	18.25	GWL03	2.5367	21.9605	169.2369	565.3865	58.3038	10657.9659
46.413194	38.327778	18.375	GWL03	2.4512	38.9112	166.9756	579.9154	58.7864	12028.9087
46.538194	38.452778	18.5	GWL03	2.5373	47.7854	175.1830	604.1932	59.1513	12592.0246
46.663194	38.577778	18.625	GWL03	3.6730	49.7617	175.7035	570.6057	58.8345	12535.9105
46.788194	38.702778	18.75	GWL03	3.3756	53.3843	168.7364	526.3305	59.9808	15069.0379
46.913194	38.827778	18.875	GWL03	1.8106	63.2207	173.5163	547.6337	58.2863	14295.1775
47.038194	38.952778	19	GWL03	2.0021	65.0586	172.5311	627.8369	55.0281	10891.3122
47.163194	39.077778	19.125	GWL03	1.9583	63.4315	170.3754	619.6352	55.6764	12124.2768
47.288194	39.202778	19.25	GWL03	1.9388	52.7832	170.6955	529.7842	55.3735	12070.9376
47.413194	39.327778	19.375	GWL03	2.2101	60.8579	172.2410	497.9510	54.1328	11406.5237
47.538194	39.452778	19.5	GWL03	2.3441	69.8310	171.3959	442.7040	53.0770	11057.0889
47.663194	39.577778	19.625	GWL03	2.4190	48.2605	167.2670	462.7031	52.9984	11206.9736
47.788194	39.702778	19.75	GWL03	2.5274	56.5184	167.5803	528.1661	52.2330	10651.2110
47.913194	39.827778	19.875	GWL03	2.4603	61.9000	171.1035	554.6935	51.3882	10412.1045
3.125	-4.960417	-24.913194	GWL04	6.0830	-24.7780	114.2288	-39.6022	17.9742	11473.8156
3.25	-4.835417	-24.788194	GWL04	5.8553	-6.2314	109.3639	-40.6833	17.6804	10927.3883
3.375	-4.710417	-24.663194	GWL04	5.5936	-0.0697	102.8363	-40.3755	17.9709	11560.0766
3.5	-4.585417	-24.538194	GWL04	5.4394	0.7449	101.6078	-40.6274	17.6089	12603.4875
3.625	-4.460417	-24.413194	GWL04	5.6354	4.6327	97.9517	-40.4987	17.4762	11712.4985
3.75	-4.335417	-24.288194	GWL04	5.8247	14.2666	99.6285	-40.3620	17.7439	12007.0611
3.875	-4.210417	-24.163194	GWL04	5.6210	-5.0912	106.4338	-39.8438	19.1145	11920.1893
4	-4.085417	-24.038194	GWL04	5.4728	-15.0613	109.7063	-40.2641	19.3480	11788.2228
4.125	-3.960417	-23.913194	GWL04	5.4414	-24.4040	110.0674	-40.4613	18.7877	12183.1600
4.25	-3.835417	-23.788194	GWL04	5.5605	-23.5092	108.6298	-39.3680	18.4603	12380.7864
4.375	-3.710417	-23.663194	GWL04	5.5298	-7.4744	102.6846	-39.4635	18.0165	12459.9716
4.5	-3.585417	-23.538194	GWL04	5.4146	-10.6963	97.2097	-39.7495	18.6910	12794.4906
4.625	-3.460417	-23.413194	GWL04	5.3755	-4.9815	97.5349	-40.0278	19.1796	12582.0984
4.75	-3.335417	-23.288194	GWL04	5.4364	-1.6475	102.3824	-39.6688	18.9491	12314.3500
4.875	-3.210417	-23.163194	GWL04	5.4243	-25.3192	106.8266	-39.4262	19.5124	12345.9188
5	-3.085417	-23.038194	GWL04	5.2611	-31.8505	107.8225	-40.3224	20.1234	12390.0313
5.125	-2.960417	-22.913194	GWL04	5.2765	-13.8269	106.6670	-39.8161	19.6022	12542.1048
5.25	-2.835417	-22.788194	GWL04	5.2941	-15.0294	104.9583	-39.2300	19.8738	12682.2565
5.375	-2.710417	-22.663194	GWL04	5.3247	-23.1234	102.4867	-39.2332	20.5818	12555.5752
5.5	-2.585417	-22.538194	GWL04	5.4510	-25.7673	99.9596	-39.0579	20.6283	12248.7890
5.625	-2.460417	-22.413194	GWL04	5.5684	-24.7002	100.1017	-39.0919	20.8737	12281.9176
5.75	-2.335417	-22.288194	GWL04	5.6866	-16.1167	102.2807	-39.2021	21.2353	12614.7302
5.875	-2.210417	-22.163194	GWL04	5.5703	-7.5333	103.8738	-38.9623	21.5969	12502.1344
6	-2.085417	-22.038194	GWL04	5.5351	-1.7202	103.8835	-38.7497	22.2867	12352.2865
6.125	-1.960417	-21.913194	GWL04	5.5600	-0.7293	103.6532	-39.0019	22.2458	12528.1665
6.25	-1.835417	-21.788194	GWL04	5.5117	22.4837	102.5477	-38.8657	21.8908	12250.3076
6.375	-1.710417	-21.663194	GWL04	5.5383	27.5332	100.3649	-39.0281	22.3738	12206.6793
6.5	-1.585417	-21.538194	GWL04	5.5100	-1.9305	96.5897	-39.6688	22.7484	12284.8390
6.625	-1.460417	-21.413194	GWL04	5.5507	-3.3875	93.9718	-39.3135	23.2532	12297.2007
6.75	-1.335417	-21.288194	GWL04	5.4856	-13.1566	96.7137	-38.7856	23.5921	12170.8254
6.875	-1.210417	-21.163194	GWL04	5.3999	-41.4585	99.7022	-39.1971	23.6095	11764.3350
7	-1.085417	-21.038194	GWL04	5.4009	-40.2065	100.3542	-39.4031	23.8786	11825.7840
7.125	-0.960417	-20.913194	GWL04	5.3574	-20.8912	100.7685	-39.0777	24.2215	12229.9858
7.25	-0.835417	-20.788194	GWL04	5.1038	5.2328	99.5166	-38.5553	24.4644	12426.5009
7.375	-0.710417	-20.663194	GWL04	4.8720	-5.1161	96.4980	-38.8730	24.4845	12452.2356
7.5	-0.585417	-20.538194	GWL04	4.9479	-35.4979	93.4094	-39.3977	24.8550	12252.9621
7.625	-0.460417	-20.413194	GWL04	5.5239	-29.0704	91.3141	-39.1845	25.1194	12104.6820
7.75	-0.335417	-20.288194	GWL04	5.5782	-14.3537	91.2047	-39.3984	25.5828	12155.4708
7.875	-0.210417	-20.163194	GWL04	5.4140	-31.7507	93.9455	-39.9171	26.5682	12238.7153
8	-0.085417	-20.038194	GWL04	5.9498	135.4440	106.2607	-21.3429	26.3272	11341.7066
8.085417	0	-19.952778	GWL04	6.2177	359.0903	117.1917	0.2748	25.4456	10205.7008
8.210417	0.125	-19.827778	GWL04	7.1109	339.3687	144.7834	0.2077	27.6105	11492.6535
8.335417	0.25	-19.702778	GWL04	7.2166	377.7218	127.8833	0.0774	32.2313	12457.2433
8.460417	0.375	-19.577778	GWL04	7.3800	359.8869	120.5285	0.5977	34.2643	13097.9073
8.585417	0.5	-19.452778	GWL04	6.4700	369.9060	118.3754	-0.4086	35.2720	13594.4452
8.710417	0.625	-19.327778	GWL04	6.1088	470.8624	122.9435	-0.3091	34.4788	12780.1826
8.835417	0.75	-19.202778	GWL04	5.8104	462.9939	122.3376	-0.1604	34.3687	12631.3160
8.960417	0.875	-19.077778	GWL04	5.4999	433.3071	120.6211	-0.0466	34.4326	12640.1558
9.085417	1	-18.952778	GWL04	5.1894	403.6203	118.9046	0.0672	34.4965	12648.9956
9.210417	1.125	-18.827778	GWL04	4.8789	373.9335	117.1881	0.1811	34.5604	12657.8354
9.335417	1.25	-18.702778	GWL04	4.5685	344.2467	115.4716	0.2949	34.6244	12666.6752
9.460417	1.375	-18.577778	GWL04	4.2580	314.5599	113.7551	0.4087	34.6883	12675.5150
9.585417	1.5	-18.452778	GWL04	3.9475	284.8731	112.0386	0.5226	34.7522	12684.3548
9.710417	1.625	-18.327778	GWL04	3.6370	255.1863	110.3221	0.6364	34.8161	12693.1946
9.835417	1.75	-18.202778	GWL04	3.3265	225.4995	108.6056	0.7502	34.8800	12702.0344
9.960417	1.875	-18.077778	GWL04	3.0160	195.8127	106.8892	0.8641	34.9439	12710.8742
10.085417	2	-17.952778	GWL04	2.7056	166.1259	105.1727	0.9779	35.0078	12719.7140
10.210417	2.125	-17.827778	GWL04	2.3951	136.4390	103.4562	1.0917	35.0717	12728.5539
10.335417	2.25	-17.702778	GWL04	2.4808	103.7742	102.7531	0.8320	34.5419	11900.4020
10.460417	2.375	-17.577778	GWL04	2.3263	42.4119	102.9764	0.5034	34.7994	12011.9685
10.585417	2.5	-17.452778	GWL04	2.2051	15.4940	103.4072	1.0225	35.2106	11857.9800
10.710417	2.625	-17.327778	GWL04	2.1371	-8.3660	104.7507	0.8155	36.3871	12632.6444
10.835417	2.75	-17.202778	GWL04	2.1126	-14.6191	105.0652	1.3348	36.2132	12346.7541
10.960417	2.875	-17.077778	GWL04	1.9058	-18.6123	104.3088	1.4965	42.8890	11378.3513
11.085417	3	-16.952778	GWL04	1.7643	34.4494	106.3883	1.2850	36.2886	11669.4832
