days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
40.038194	31.952778	12	NA	-5.5393	620.5313	-6.8557	328.8118	671.5415	-25.2042	-25.4355	-25.5087	-22.3314	-20.9417	-19.5243	-1.7222	6.8006	116.4699	196.857	0.7714	-1.2476	321.6979	326.64	146.08	-23.1576	2.60	1.06	52.9882	84.29	34.41
40.163194	32.077778	12.125	NA	-5.5372	631.5327	-6.8779	331.9447	677.1253	-25.2757	-25.5124	-25.5802	-22.3947	-20.9999	-19.5798	-1.7268	6.8932	118.6603	203.0352	0.7712	-1.2147	325.6375	330.68	147.88	-23.2238	2.60	1.06	54.4031	86.72	35.40
40.288194	32.202778	12.25	NA	-5.5298	642.5341	-6.901	335.0159	684.573	-25.3468	-25.5896	-25.6523	-22.4586	-21.0589	-19.6377	-1.7299	6.9904	120.8988	209.0938	0.7708	-1.1803	329.9384	335.23	149.92	-23.2906	2.61	1.07	55.8073	89.11	36.38
40.413194	32.327778	12.375	NA	-5.5224	653.5355	-6.9254	338.4294	692.0741	-25.4181	-25.6677	-25.7253	-22.5231	-21.1181	-19.697	-1.7328	7.0817	123.1607	215.1651	0.7702	-1.1449	334.3182	339.80	151.96	-23.3582	2.62	1.07	57.2167	91.52	37.36
40.538194	32.452778	12.5	NA	-5.5202	664.8795	-6.9502	341.6239	699.5751	-25.4902	-25.7459	-25.8	-22.5885	-21.1762	-19.7573	-1.7371	7.1661	125.4505	221.4839	0.771	-1.1095	338.7216	344.45	154.04	-23.4263	2.63	1.07	58.6708	94.02	38.38
40.663194	32.577778	12.625	NA	-5.5188	676.8835	-6.9758	344.6519	707.0761	-25.5635	-25.8254	-25.8748	-22.654	-21.2353	-19.8187	-1.7414	7.2706	127.7538	228.023	0.7727	-1.0735	343.2234	349.28	156.20	-23.4953	2.63	1.08	60.1675	96.59	39.43
40.788194	32.702778	12.75	NA	-5.5184	689.2667	-7.0017	347.5707	714.9598	-25.6383	-25.9067	-25.9487	-22.7199	-21.2958	-19.8815	-1.746	7.3927	130.0305	234.5437	0.7736	-1.0362	347.8554	354.30	158.45	-23.5651	2.64	1.08	61.6597	99.16	40.48
40.913194	32.827778	12.875	NA	-5.5195	701.7131	-7.0272	350.4726	723.3849	-25.713	-25.987	-26.0221	-22.7864	-21.3552	-19.9434	-1.7516	7.4962	132.3042	241.1266	0.774	-0.9909	352.6048	359.50	160.77	-23.6345	2.65	1.08	63.1598	101.76	41.54
41.038194	32.952778	13	NA	-5.5223	714.1596	-7.0532	352.7275	731.8253	-25.7865	-26.0656	-26.0962	-22.853	-21.4148	-20.0004	-1.756	7.5864	134.6685	248.2807	0.7745	-0.9394	357.2274	364.70	163.10	-23.7028	2.66	1.09	64.7691	104.57	42.69
41.163194	33.077778	13.125	NA	-5.5247	726.606	-7.0788	355.2588	740.2656	-25.8599	-26.1444	-26.1722	-22.9203	-21.4754	-20.0573	-1.7589	7.6808	137.0603	256.4849	0.7748	-0.892	361.9054	369.92	165.43	-23.7716	2.67	1.09	66.5583	107.75	43.99
