days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
38.288194	30.202778	10.25	NA	404.3637	251.4987	315.2324	285.8994	453.0227	414.303	402.8369	496.2674	340.5777	304.2632	368.2019	231.4173	330.6747	417.3033	477.4458	451.3184	320.5612	342.0034	84.07	37.60	387.7417	66.76	27.26	371.4534	93.36	38.11
38.413194	30.327778	10.375	NA	404.6511	252.272	315.5542	286.8049	453.7177	414.5806	403.1221	496.8398	340.8906	304.6704	368.7323	231.7213	331.0626	417.7505	477.7446	451.7688	320.9857	342.6000	83.97	37.55	388.1393	66.81	27.27	371.8389	93.37	38.12
38.538194	30.452778	10.5	NA	404.9289	253.0233	315.8671	287.6685	454.3576	414.8523	403.3978	497.3973	341.1928	305.0732	369.2523	232.0229	331.4455	418.1831	478.0318	452.2024	321.3972	343.1691	83.86	37.50	388.5276	66.85	27.29	372.2138	93.39	38.13
38.663194	30.577778	10.625	NA	405.1944	253.7444	316.1723	288.4975	454.948	415.1155	403.6626	497.95	341.4845	305.4715	369.763	232.3099	331.8194	418.6106	478.3112	452.6312	321.7955	343.7113	83.75	37.45	388.9078	66.89	27.31	372.5796	93.40	38.13
38.788194	30.702778	10.75	NA	405.4396	254.4498	316.4645	289.3047	455.4902	415.3685	403.9091	498.489	341.7638	305.8448	370.2318	232.5758	332.1796	419.0295	478.5788	453.0429	322.1807	344.2298	83.63	37.40	389.2678	66.94	27.33	372.9312	93.42	38.14
38.913194	30.827778	10.875	NA	405.6723	255.1445	316.7379	290.1	455.9994	415.6116	404.1381	499.0186	342.0295	306.2069	370.682	232.8329	332.5342	419.4431	478.8244	453.446	322.5606	344.7308	83.50	37.34	389.6145	66.99	27.35	373.2735	93.44	38.15
39.038194	30.952778	11	NA	405.8928	255.8104	316.9987	290.8707	456.4666	415.8451	404.3523	499.5219	342.283	306.5485	371.105	233.0731	332.8668	419.8395	479.0572	453.827	322.9171	345.2078	83.37	37.28	389.9426	67.03	27.37	373.5968	93.46	38.15
39.163194	31.077778	11.125	NA	406.1116	256.4449	317.2596	291.6163	456.9066	416.076	404.5677	500.0178	342.5363	306.8905	371.5279	233.301	333.1929	420.2296	479.2848	454.1974	323.2647	345.6678	83.24	37.23	390.2694	67.08	27.38	373.9117	93.48	38.16
39.288194	31.202778	11.25	NA	406.3329	257.0639	317.5261	292.3441	457.3433	416.3147	404.7904	500.5066	342.8002	307.2362	371.9512	233.5387	333.5076	420.6127	479.5185	454.5589	323.6037	346.1221	83.12	37.17	390.5999	67.12	27.40	374.2233	93.49	38.17
39.413194	31.327778	11.375	NA	406.5478	257.6702	317.7869	293.0562	457.7553	416.5487	405.0057	500.9809	343.0585	307.5705	372.3584	233.7703	333.8137	420.9871	479.7474	454.9134	323.9367	346.5633	83.00	37.12	390.9205	67.16	27.42	374.5281	93.51	38.18
39.538194	31.452778	11.5	NA	406.7593	258.2623	318.0429	293.7494	458.1334	416.7776	405.218	501.4476	343.3098	307.8965	372.7547	233.9966	334.1163	421.3521	479.9706	455.2613	324.2623	346.9895	82.87	37.06	391.2340	67.20	27.43	374.8265	93.53	38.18
39.663194	31.577778	11.625	NA	406.965	258.8426	318.2948	294.4153	458.4798	417.0011	405.4211	501.9041	343.5553	308.2124	373.1367	234.212	334.4129	421.7056	480.189	455.6044	324.5827	347.3995	82.74	37.00	391.5385	67.24	27.45	375.1178	93.55	38.19
39.788194	31.702778	11.75	NA	407.1634	259.4129	318.5422	295.0443	458.8002	417.2183	405.6176	502.3552	343.7931	308.5172	373.5006	234.4202	334.6985	422.055	480.4045	455.9421	324.8962	347.7926	82.61	36.94	391.8337	67.28	27.47	375.4028	93.57	38.20
39.913194	31.827778	11.875	NA	407.3581	259.9759	318.7844	295.65	459.0959	417.4287	405.812	502.8005	344.0247	308.8076	373.8466	234.6246	334.9759	422.402	480.6156	456.2743	325.1979	348.1729	82.47	36.88	392.1200	67.33	27.49	375.6817	93.59	38.21
40.038194	31.952778	12	NA	407.5481	260.5286	319.0211	296.253	459.3772	417.6334	406.0016	503.2325	344.2547	309.0815	374.1708	234.8192	335.2522	422.7435	480.8213	456.6007	325.4951	348.5456	82.34	36.82	392.3958	67.38	27.51	375.9553	93.61	38.22
40.163194	32.077778	12.125	NA	407.7361	261.0669	319.2534	296.8489	459.6476	417.8363	406.1884	503.6556	344.4842	309.3495	374.4841	235.0122	335.5297	423.0788	481.0232	456.9232	325.7935	348.9106	82.20	36.76	392.6663	67.42	27.53	376.2268	93.63	38.22
