days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
22.460417	14.375	-5.577778	NA	83.514	83.1155	76.7858	80.6886	83.0299	74.343	77.375	72.7518	71.8226	76.6218	70.4375	70.3238	70.8473	79.81	81.8579	80.0197	84.5457	81.4268	2.82	1.26	73.8919	2.73	1.12	77.9007	5.92	2.42
22.585417	14.5	-5.452778	NA	84.0196	83.5967	77.2372	81.1469	83.5042	74.8102	77.8397	73.2045	72.257	77.0332	70.8048	70.7804	71.2734	80.2042	82.3047	80.4732	85.0438	81.9009	2.84	1.27	74.3249	2.75	1.12	78.3466	5.93	2.42
22.710417	14.625	-5.327778	NA	84.5252	84.0779	77.6886	81.6051	83.9785	75.2774	78.3044	73.6572	72.6914	77.4446	71.1721	71.2371	71.6995	80.5984	82.7514	80.9266	85.5419	82.3751	2.86	1.28	74.7579	2.77	1.13	78.7925	5.94	2.43
22.835417	14.75	-5.202778	NA	85.0308	84.5591	78.14	82.0634	84.4527	75.7447	78.7691	74.1099	73.1258	77.856	71.5393	71.6937	72.1255	80.9927	83.1981	81.3801	86.04	82.8492	2.87	1.29	75.1908	2.79	1.14	79.2383	5.95	2.43
22.960417	14.875	-5.077778	NA	85.5364	85.0403	78.5914	82.5216	84.927	76.2119	79.2338	74.5626	73.5602	78.2673	71.9066	72.1503	72.5516	81.3869	83.6449	81.8335	86.5381	83.3233	2.89	1.29	75.6237	2.81	1.15	79.6842	5.96	2.43
23.085417	15	-4.952778	NA	86.042	85.5215	79.0428	82.9799	85.4013	76.6791	79.6985	75.0153	73.9946	78.6787	72.2739	72.6069	72.9777	81.7811	84.0916	82.287	87.0362	83.7975	2.91	1.30	76.0567	2.83	1.16	80.1301	5.98	2.44
23.210417	15.125	-4.827778	NA	86.5476	86.0027	79.4942	83.4381	85.8756	77.1463	80.1632	75.468	74.429	79.0901	72.6412	73.0635	73.4038	82.1753	84.5383	82.7405	87.5343	84.2716	2.93	1.31	76.4896	2.86	1.17	80.5760	5.99	2.44
23.335417	15.25	-4.702778	NA	87.0532	86.4839	79.9456	83.8964	86.3499	77.6135	80.6279	75.9207	74.8634	79.5015	73.0085	73.5202	73.8299	82.5696	84.9851	83.1939	88.0324	84.7458	2.94	1.32	76.9226	2.88	1.18	81.0219	6.00	2.45
23.460417	15.375	-4.577778	NA	87.5588	86.9651	80.397	84.3546	86.8241	78.0807	81.0926	76.3734	75.2978	79.9128	73.3757	73.9768	74.256	82.9638	85.4318	83.6474	88.5305	85.2199	2.96	1.32	77.3555	2.90	1.18	81.4677	6.01	2.45
23.585417	15.5	-4.452778	NA	88.0644	87.4463	80.8484	84.8129	87.2984	78.5479	81.5573	76.8261	75.7322	80.3242	73.743	74.4334	74.6821	83.358	85.8785	84.1008	89.0286	85.6941	2.98	1.33	77.7884	2.92	1.19	81.9136	6.02	2.46
