days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
12.085417	4	-15.952778	NA	-1.6713	8.9252	204.4177	8.7244	-1.7034	47.6482	110.6752	24.6428	33.008	113.0471	58.0657	157.2193	278.3568	12.8057	14.903	17.8531	-1.8001	43.7385	89.98	40.24	64.5145	38.46	15.70	79.8896	113.68	46.41
12.210417	4.125	-15.827778	NA	-1.69	8.9726	207.4697	8.7299	-1.6652	48.1135	111.9597	24.8624	33.5673	114.4473	58.6478	159.0812	278.4868	12.7571	14.9413	17.7451	-1.8087	44.3634	91.33	40.84	65.2663	38.92	15.89	80.2005	113.99	46.54
12.335417	4.25	-15.702778	NA	-1.7649	8.9842	210.4705	8.7307	-1.6636	48.5357	113.056	25.059	34.0404	115.7415	59.0966	160.9781	278.5845	12.7043	14.9033	17.6358	-1.8235	44.9514	92.68	41.45	65.9215	39.34	16.06	80.4971	114.32	46.67
12.460417	4.375	-15.577778	NA	-1.8341	8.9455	213.2095	8.6809	-1.7211	48.9429	113.926	25.1666	34.4376	116.7991	59.4415	162.7103	278.6597	12.6543	14.8439	17.5462	-1.8898	45.4561	93.93	42.01	66.4523	39.68	16.20	80.7541	114.62	46.79
12.585417	4.5	-15.452778	NA	-1.9043	8.8852	215.7712	8.6209	-1.7804	49.3671	114.7692	25.2061	34.824	117.7116	59.7252	164.2998	278.734	12.6212	14.8019	17.5034	-1.9714	45.9185	95.10	42.53	66.9339	40.00	16.33	80.9981	114.90	46.91
12.710417	4.625	-15.327778	NA	-1.9742	8.8337	218.2121	8.569	-1.8281	49.761	115.5249	25.2673	35.2183	118.5182	59.9957	165.8089	278.8207	12.6436	14.7636	17.4974	-2.0241	46.3625	96.21	43.03	67.3809	40.26	16.44	81.2517	115.16	47.01
12.835417	4.75	-15.202778	NA	-2.0042	8.8158	220.557	8.4796	-1.8738	50.1465	116.2005	25.3319	35.5705	119.1594	60.2151	167.1845	278.8899	12.7061	14.7587	17.4793	-2.0629	46.7949	97.28	43.51	67.7707	40.48	16.52	81.4926	115.39	47.11
12.960417	4.875	-15.077778	NA	-2.0728	8.7969	222.8132	8.3981	-1.9197	50.5288	116.8035	25.3664	35.9215	119.6608	60.3728	168.4815	278.9323	12.7524	14.7214	17.4252	-2.0905	47.2031	98.31	43.97	68.1090	40.65	16.59	81.7037	115.61	47.20
13.085417	5	-14.952778	NA	-2.1706	8.7652	225.0373	8.3581	-1.9802	50.8734	117.3389	25.3806	36.2379	120.0674	60.5083	169.7267	278.9738	12.7789	14.6593	17.3588	-2.0873	47.6020	99.33	44.42	68.4011	40.79	16.65	81.9017	115.82	47.28
13.210417	5.125	-14.827778	NA	-2.2245	8.7249	227.1675	8.3199	-2.0362	51.1923	117.7751	25.4144	36.4875	120.411	60.6436	170.8724	279.0134	12.7766	14.6436	17.3009	-2.0789	47.9903	100.30	44.86	68.6540	40.90	16.70	82.0880	116.01	47.36
