days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
40.913194	32.827778	12.875	NA	3.9098	3.4253	12.2001	1.0531	1.9788	25.4987	23.8223	29.615	39.2092	34.5079	35.2979	6.7274	8.4999	5.15	3.4874	4.8157	3.4802	4.5134	4.44	1.99	31.3252	6.02	2.46	5.3601	1.95	0.80
41.038194	32.952778	13	NA	3.9225	3.4395	12.2433	1.0546	1.9834	25.5494	23.872	29.6769	39.303	34.5698	35.3609	6.756	8.5221	5.1609	3.496	4.8449	3.497	4.5287	4.46	2.00	31.3887	6.03	2.46	5.3795	1.96	0.80
41.163194	33.077778	13.125	NA	3.9348	3.4534	12.2844	1.0561	1.9878	25.5996	23.9201	29.736	39.3912	34.6292	35.4209	6.7834	8.5445	5.1718	3.5046	4.8726	3.5137	4.5433	4.48	2.00	31.4495	6.05	2.47	5.3984	1.96	0.80
41.288194	33.202778	13.25	NA	3.9471	3.4674	12.324	1.0574	1.9918	25.6498	23.9678	29.7927	39.4764	34.6872	35.4788	6.8107	8.5663	5.1827	3.513	4.8996	3.5301	4.5575	4.49	2.01	31.5088	6.06	2.47	5.4171	1.97	0.80
41.413194	33.327778	13.375	NA	3.9589	3.481	12.3619	1.0588	1.9954	25.7008	24.0156	29.8479	39.5587	34.744	35.5362	6.838	8.5881	5.1934	3.5211	4.9265	3.5465	4.5712	4.51	2.02	31.5672	6.07	2.48	5.4356	1.97	0.81
41.538194	33.452778	13.5	NA	3.9705	3.4941	12.3987	1.0606	1.9991	25.7517	24.0644	29.9017	39.6384	34.7999	35.5936	6.8644	8.6102	5.2036	3.5289	4.9535	3.5631	4.5846	4.52	2.02	31.6249	6.08	2.48	5.4539	1.98	0.81
41.663194	33.577778	13.625	NA	3.9821	3.5073	12.4348	1.0626	2.003	25.8017	24.1144	29.9539	39.7172	34.8553	35.6505	6.8893	8.6329	5.2138	3.537	4.9804	3.5796	4.5980	4.53	2.03	31.6822	6.09	2.48	5.4722	1.98	0.81
41.788194	33.702778	13.75	NA	3.9933	3.5212	12.4703	1.0643	2.0072	25.8512	24.1644	30.0044	39.7943	34.9092	35.7066	6.9137	8.6566	5.2241	3.5452	5.0074	3.5952	4.6113	4.55	2.03	31.7384	6.09	2.49	5.4904	1.99	0.81
41.913194	33.827778	13.875	NA	4.0044	3.5353	12.5058	1.0658	2.0122	25.9006	24.2141	30.052	39.8725	34.9605	35.7602	6.9382	8.681	5.2341	3.5531	5.0347	3.6105	4.6247	4.56	2.04	31.7933	6.10	2.49	5.5086	1.99	0.81
42.038194	33.952778	14	NA	4.0152	3.5494	12.5407	1.0673	2.0171	25.9496	24.2631	30.0975	39.9544	35.0106	35.811	6.9619	8.7057	5.2439	3.5605	5.0617	3.6259	4.6379	4.57	2.05	31.8477	6.11	2.50	5.5266	2.00	0.82
