days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
18.585417	10.5	-9.452778	NA	39.2003	35.8308	58.2696	32.4485	36.0884	60.8308	61.5411	62.4487	55.6682	64.7615	53.7138	50.7894	42.151	44.6304	48.6697	32.745	54.0812	40.3675	10.29	4.60	59.8274	4.24	1.73	45.5111	7.57	3.09
18.710417	10.625	-9.327778	NA	39.4974	36.1436	58.7761	32.6734	36.3679	61.2907	62.0359	62.9777	56.0916	65.2645	54.1191	51.2499	42.4685	44.9777	48.9979	32.9196	54.3439	40.6917	10.39	4.65	60.2966	4.28	1.75	45.8263	7.62	3.11
18.835417	10.75	-9.202778	NA	39.7993	36.4591	59.2925	32.8993	36.6491	61.7538	62.5322	63.5086	56.5224	65.7701	54.5243	51.7157	42.7875	45.327	49.3269	33.0959	54.606	41.0199	10.50	4.70	60.7686	4.33	1.77	46.1432	7.68	3.14
18.960417	10.875	-9.077778	NA	40.1085	36.7767	59.8145	33.1284	36.9327	62.2227	63.0324	64.0433	56.9596	66.2798	54.932	52.1865	43.1096	45.6796	49.6615	33.2752	54.8687	41.3522	10.61	4.75	61.2450	4.37	1.78	46.4635	7.74	3.16
19.085417	11	-8.952778	NA	40.422	37.0976	60.3355	33.3601	37.2167	62.6925	63.5352	64.5818	57.3971	66.7914	55.3421	52.6579	43.4334	46.0362	49.9978	33.4581	55.1342	41.6864	10.72	4.79	61.7234	4.42	1.80	46.7863	7.80	3.18
19.210417	11.125	-8.827778	NA	40.737	37.4198	60.8554	33.5949	37.5022	63.1647	64.0389	65.1225	57.8345	67.3029	55.7529	53.1288	43.757	46.3947	50.3327	33.6428	55.3996	42.0219	10.83	4.84	62.2027	4.46	1.82	47.1093	7.85	3.21
19.335417	11.25	-8.702778	NA	41.0495	37.7413	61.3681	33.8322	37.7896	63.6337	64.5409	65.6631	58.2699	67.8133	56.1641	53.5976	44.0806	46.7524	50.6626	33.8305	55.6623	42.3561	10.93	4.89	62.6808	4.51	1.84	47.4310	7.91	3.23
19.460417	11.375	-8.577778	NA	41.3562	38.0638	61.8735	34.069	38.0765	64.0966	65.0383	66.2017	58.6978	68.3202	56.5743	54.0619	44.4043	47.1087	50.9866	34.0194	55.9246	42.6878	11.03	4.93	63.1548	4.55	1.86	47.7509	7.97	3.25
19.585417	11.5	-8.452778	NA	41.6603	38.388	62.3795	34.3047	38.3626	64.555	65.5306	66.7374	59.1217	68.8232	56.9833	54.5238	44.7276	47.4667	51.308	34.208	56.1848	43.0190	11.13	4.98	63.6252	4.60	1.88	48.0698	8.02	3.27
19.710417	11.625	-8.327778	NA	41.9655	38.7131	62.8889	34.5403	38.65	65.0116	66.0209	67.2719	59.548	69.3242	57.3908	54.9873	45.0519	47.8275	51.6298	34.397	56.4455	43.3516	11.23	5.02	64.0946	4.64	1.89	48.3898	8.08	3.30
19.835417	11.75	-8.202778	NA	42.2751	39.0404	63.4077	34.7761	38.9397	65.473	66.5126	67.8079	59.9775	69.8251	57.7978	55.4536	45.3785	48.194	51.9558	34.5877	56.7101	43.6878	11.34	5.07	64.5657	4.68	1.91	48.7133	8.13	3.32
19.960417	11.875	-8.077778	NA	42.5904	39.3701	63.9345	35.0128	39.2312	65.9407	67.0065	68.347	60.4096	70.3263	58.2072	55.9225	45.7067	48.5662	52.2873	34.7788	56.9765	44.0278	11.45	5.12	65.0396	4.73	1.93	49.0397	8.19	3.34
20.085417	12	-7.952778	NA	42.9098	39.7023	64.4614	35.2497	39.5243	66.4099	67.5015	68.8886	60.8442	70.8268	58.6186	56.3926	46.036	48.939	52.6206	34.9707	57.2424	44.3695	11.56	5.17	65.5149	4.77	1.95	49.3669	8.25	3.37
20.210417	12.125	-7.827778	NA	43.2296	40.0358	64.983	35.4872	39.8193	66.8801	67.9954	69.4305	61.2796	71.3255	59.0293	56.8615	46.3658	49.3105	52.9519	35.1644	57.5083	44.7110	11.66	5.22	65.9901	4.81	1.96	49.6937	8.31	3.39
20.335417	12.25	-7.702778	NA	43.5472	40.3692	65.4972	35.726	40.1164	67.3492	68.4887	69.972	61.7134	71.8233	59.439	57.3299	46.6951	49.6847	53.2789	35.3613	57.7725	45.0512	11.76	5.26	66.4643	4.85	1.98	50.0204	8.37	3.42
20.460417	12.375	-7.577778	NA	43.8624	40.7026	66.0082	35.9659	40.4135	67.8106	68.9795	70.5129	62.1444	72.3207	59.8487	57.7942	47.0247	50.0599	53.6029	35.562	58.038	45.3905	11.86	5.31	66.9361	4.90	2.00	50.3469	8.43	3.44
20.585417	12.5	-7.452778	NA	44.1742	41.0348	66.5145	36.2068	40.7095	68.2649	69.4655	71.0506	62.5669	72.8158	60.2572	58.2521	47.3539	50.4373	53.9242	35.7629	58.3078	45.7280	11.96	5.35	67.4035	4.94	2.02	50.6730	8.48	3.46
20.710417	12.625	-7.327778	NA	44.4841	41.3676	67.0207	36.4472	41.0054	68.7191	69.9485	71.5848	62.9852	73.3077	60.6642	58.7079	47.681	50.8142	54.2443	35.962	58.5829	46.0650	12.06	5.39	67.8683	4.98	2.03	50.9987	8.54	3.49
20.835417	12.75	-7.202778	NA	44.7962	41.7045	67.5339	36.6893	41.3035	69.1735	70.4329	72.1191	63.4086	73.7976	61.0709	59.1676	48.007	51.1958	54.5682	36.162	58.8601	46.4055	12.16	5.44	68.3338	5.03	2.05	51.3268	8.60	3.51
20.960417	12.875	-7.077778	NA	45.1135	42.056	68.056	36.9413	41.6193	69.6327	70.9214	72.6571	63.8385	74.2904	61.4845	59.6324	48.3375	51.5905	54.8965	36.3687	59.1377	46.7572	12.26	5.48	68.8041	5.07	2.07	51.6606	8.66	3.53
21.085417	13	-6.952778	NA	45.4377	42.4285	68.5734	37.2053	41.948	70.1037	71.4089	73.1997	64.2554	74.7876	61.9044	60.0962	48.6788	52.0114	55.2213	36.5881	59.4192	47.1186	12.35	5.52	69.2766	5.11	2.09	52.0025	8.71	3.56
21.210417	13.125	-6.827778	NA	45.7648	42.801	69.0905	37.4694	42.2768	70.5766	71.8949	73.7423	64.6711	75.2849	62.3243	60.5591	49.02	52.4323	55.5451	36.8075	59.7007	47.4805	12.44	5.56	69.7490	5.15	2.10	52.3441	8.77	3.58
21.335417	13.25	-6.702778	NA	46.0918	43.1734	69.6075	37.7334	42.6056	71.0496	72.3809	74.2849	65.0868	75.7821	62.7441	61.0219	49.3613	52.8532	55.8689	37.0269	59.9822	47.8423	12.53	5.60	70.2214	5.20	2.12	52.6857	8.82	3.60
21.460417	13.375	-6.577778	NA	46.4189	43.5459	70.1246	37.9974	42.9343	71.5225	72.8669	74.8275	65.5025	76.2794	63.164	61.4848	49.7025	53.2741	56.1927	37.2463	60.2637	48.2042	12.62	5.65	70.6938	5.24	2.14	53.0273	8.88	3.62
21.585417	13.5	-6.452778	NA	46.746	43.9183	70.6417	38.2614	43.2631	71.9954	73.3529	75.3701	65.9181	76.7766	63.5839	61.9476	50.0438	53.695	56.5164	37.4657	60.5453	48.5661	12.71	5.69	71.1662	5.28	2.16	53.3690	8.93	3.65
21.710417	13.625	-6.327778	NA	47.073	44.2908	71.1588	38.5254	43.5919	72.4684	73.8388	75.9127	66.3338	77.2739	64.0038	62.4105	50.3851	54.1159	56.8402	37.6851	60.8268	48.9280	12.80	5.73	71.6386	5.33	2.18	53.7106	8.99	3.67
21.835417	13.75	-6.202778	NA	47.4001	44.6633	71.6758	38.7894	43.9206	72.9413	74.3248	76.4553	66.7495	77.7711	64.4237	62.8733	50.7263	54.5368	57.164	37.9045	61.1083	49.2898	12.90	5.77	72.1110	5.37	2.19	54.0522	9.05	3.69
21.960417	13.875	-6.077778	NA	47.7271	45.0357	72.1929	39.0534	44.2494	73.4142	74.8108	76.9979	67.1652	78.2683	64.8436	63.3362	51.0676	54.9577	57.4878	38.1239	61.3898	49.6517	12.99	5.81	72.5833	5.42	2.21	54.3938	9.11	3.72
22.085417	14	-5.952778	NA	48.0542	45.4082	72.71	39.3174	44.5781	73.8871	75.2968	77.5405	67.5808	78.7656	65.2635	63.799	51.4088	55.3786	57.8116	38.3433	61.6713	50.0136	13.08	5.85	73.0557	5.46	2.23	54.7354	9.16	3.74
22.210417	14.125	-5.827778	NA	48.3812	45.7807	73.2271	39.5815	44.9069	74.3601	75.7828	78.0831	67.9965	79.2628	65.6834	64.2619	51.7501	55.7995	58.1353	38.5627	61.9528	50.3755	13.17	5.89	73.5281	5.51	2.25	55.0770	9.22	3.77
22.335417	14.25	-5.702778	NA	48.7083	46.1531	73.7441	39.8455	45.2357	74.833	76.2688	78.6257	68.4122	79.7601	66.1033	64.7247	52.0913	56.2204	58.4591	38.7821	62.2343	50.7373	13.26	5.93	74.0005	5.55	2.27	55.4186	9.28	3.79
22.460417	14.375	-5.577778	NA	49.0353	46.5256	74.2612	40.1095	45.5644	75.3059	76.7548	79.1683	68.8278	80.2573	66.5231	65.1876	52.4326	56.6413	58.7829	39.0015	62.5159	51.0992	13.35	5.97	74.4729	5.59	2.28	55.7603	9.34	3.81
