time	epoch_time	flow	exhaust	p_flow	N2O_ppb	CO2_ppm	CH4_ppb	H2O_ppm	NH3_ppb	bin_INC2	bin_INC_valve
2015-08-12 06:48:00	1439362080	374.7987	70.0398	49.1470	425.7410	401.2310	3985.4220	1809.4870	  12.3020	1-0-00-0000-0000	0001
2015-08-12 09:48:00	1439372880	374.8587	66.5427	49.1755	405.1480	401.4640	3979.6850	2220.8170	  17.3110	1-0-00-0000-0000	0001
2015-08-12 12:48:00	1439383680	374.8125	71.6679	49.1567	429.6590	400.9100	3985.6610	4416.7000	  19.7300	1-0-00-0000-0000	0001
2015-08-12 15:48:00	1439394480	374.8705	71.7548	49.1428	404.5630	401.1640	3986.3180	5470.9060	  20.8220	1-0-00-0000-0000	0001
2015-08-12 18:48:00	1439405280	374.8670	71.3448	49.1380	412.0480	400.8770	3986.9110	4482.1510	  18.8340	1-0-00-0000-0000	0001
2015-08-12 21:48:00	1439416080	374.8511	72.5943	49.1539	412.9040	400.6780	3985.6820	3636.6190	  16.7960	1-0-00-0000-0000	0001
2015-08-13 00:48:00	1439426880	374.8408	72.0975	49.1595	409.4910	400.8760	3985.8560	3227.4790	  16.3670	1-0-00-0000-0000	0001
2015-08-13 03:48:00	1439437680	374.8594	72.2203	49.1977	413.6370	400.9680	3985.2640	4046.4660	  17.3820	1-0-00-0000-0000	0001
2015-08-13 06:48:00	1439448480	374.8498	72.1689	49.1553	425.5600	401.0780	3985.3740	3706.5650	  16.6130	1-0-00-0000-0000	0001
2015-08-13 09:48:00	1439459280	374.8284	73.6908	49.1491	422.8270	401.0370	3985.5010	4098.2190	  17.8550	1-0-00-0000-0000	0001
2015-08-13 12:48:00	1439470080	374.8449	75.1863	49.1491	415.9530	400.8580	3985.0090	3692.4540	  16.9790	1-0-00-0000-0000	0001
2015-08-13 15:48:00	1439480880	374.9395	75.9617	49.1650	421.2450	400.8730	3985.2300	3459.3290	  17.2230	1-0-00-0000-0000	0001
2015-08-13 18:48:00	1439491680	374.8905	75.9921	49.1637	408.8590	401.1220	3985.4740	3073.2670	  16.4700	1-0-00-0000-0000	0001
2015-08-13 21:48:00	1439502480	374.8774	75.0153	49.1553	413.5520	400.8680	3986.9000	3960.9850	  17.8970	1-0-00-0000-0000	0001
2015-08-14 00:48:00	1439513280	374.8767	74.0545	49.1407	410.1750	400.7310	3984.3640	4131.9120	  18.5000	1-0-00-0000-0000	0001
2015-08-14 03:48:00	1439524080	374.8201	73.4139	49.1560	407.6450	400.7630	3984.5050	3457.7960	  17.3430	1-0-00-0000-0000	0001
2015-08-14 06:48:00	1439534880	374.8166	73.3393	49.1519	413.7920	401.0410	3985.6610	3106.1180	  17.0100	1-0-00-0000-0000	0001
2015-08-14 09:48:00	1439545680	374.8539	74.7575	49.1630	422.8290	400.9930	3986.1690	3304.9260	  17.0110	1-0-00-0000-0000	0001
2015-08-14 15:12:00	1439565120	374.8836	76.1821	49.2317	421.6840	401.2730	3984.8180	3540.5580	  17.3660	1-0-00-0000-0000	0001
2015-08-14 18:12:00	1439575920	374.9229	75.2000	49.1595	411.1240	400.9140	3985.1800	3421.2500	  16.7890	1-0-00-0000-0000	0001
2015-08-14 21:12:00	1439586720	374.8166	74.7888	49.1407	415.1810	400.5310	3985.0900	3092.4830	  16.5670	1-0-00-0000-0000	0001
2015-08-15 00:12:00	1439597520	374.8366	73.8852	49.1227	408.0110	401.0700	3985.6800	4766.2810	  19.6110	1-0-00-0000-0000	0001
2015-08-15 03:12:00	1439608320	374.7925	73.9802	49.1546	419.4890	401.1280	3985.4160	5001.5340	  19.8820	1-0-00-0000-0000	0001
2015-08-15 06:12:00	1439619120	374.8097	75.4754	49.1623	410.3650	400.8080	3986.3580	5139.8670	  19.8280	1-0-00-0000-0000	0001
2015-08-15 09:12:00	1439629920	374.8021	76.8434	49.1449	416.3750	400.9120	3986.6730	4121.0210	  18.9660	1-0-00-0000-0000	0001
2015-08-15 12:12:00	1439640720	374.7773	77.8964	49.1623	406.5380	400.8690	3985.4660	4438.8570	  19.1130	1-0-00-0000-0000	0001
2015-08-15 15:12:00	1439651520	374.7994	77.9735	49.1789	413.8240	400.7260	3986.7390	4550.4460	  18.6650	1-0-00-0000-0000	0001
2015-08-15 18:12:00	1439662320	374.8187	77.8951	49.1609	409.2470	400.8570	3985.2430	4592.6720	  18.4170	1-0-00-0000-0000	0001
2015-08-15 21:12:00	1439673120	374.8601	78.1212	49.1338	412.0930	401.0170	3985.5400	4508.2320	  17.8840	1-0-00-0000-0000	0001
2015-08-16 00:12:00	1439683920	374.8125	78.6038	49.1609	422.1600	400.8780	3986.0780	4384.1330	  18.2080	1-0-00-0000-0000	0001
2015-08-16 03:12:00	1439694720	374.7973	78.4568	49.1276	408.0470	401.1710	3985.9690	5171.5750	  19.0160	1-0-00-0000-0000	0001
2015-08-16 06:12:00	1439705520	374.8125	78.3241	49.1519	417.3020	401.2010	3985.2340	4140.7590	  16.8770	1-0-00-0000-0000	0001
2015-08-16 09:12:00	1439716320	374.7931	78.3680	49.1519	415.8880	400.8330	3986.0240	4643.1320	  17.8520	1-0-00-0000-0000	0001
2015-08-16 12:12:00	1439727120	374.8201	78.9077	49.1539	416.5140	400.8590	3985.0020	2541.8440	  13.4880	1-0-00-0000-0000	0001
2015-08-16 15:12:00	1439737920	374.8083	78.4715	49.1623	418.5020	400.7170	3985.4150	3054.2650	  14.7500	1-0-00-0000-0000	0001
2015-08-16 18:12:00	1439748720	374.8401	78.8174	49.1664	406.9750	400.5630	3985.2840	3751.6310	  16.1850	1-0-00-0000-0000	0001
2015-08-16 21:12:00	1439759520	374.8435	77.9727	49.1394	417.0150	400.2550	3985.6800	4270.7650	  16.7190	1-0-00-0000-0000	0001
2015-08-17 00:12:00	1439770320	374.8353	76.7541	49.1317	424.6250	400.9180	3984.7010	4638.9050	  17.4900	1-0-00-0000-0000	0001
2015-08-17 03:12:00	1439781120	374.8373	76.3969	49.1560	419.6100	400.3420	3985.2720	3811.6310	  16.1220	1-0-00-0000-0000	0001
2015-08-17 06:12:00	1439791920	374.8463	75.8152	49.1407	417.2000	401.0100	3972.0490	3422.1400	  14.9990	1-0-00-0000-0000	0001
2015-08-17 09:12:00	1439802720	374.7911	75.4929	49.1505	410.0640	400.8370	3984.7230	2882.7570	  14.2960	1-0-00-0000-0000	0001
2015-08-17 12:12:00	1439813520	374.7517	75.9289	49.1401	424.8730	400.8280	3985.3190	3030.8110	  13.7960	1-0-00-0000-0000	0001
2015-08-17 20:54:00	1439844840	374.8104	75.4322	49.1623	390.0780	400.9810	3986.6910	6634.3580	  19.1700	1-0-00-0000-0000	0001
2015-08-17 23:54:00	1439855640	374.7959	75.1783	49.1630	423.5160	400.7670	3984.7940	5791.0810	  17.1440	1-0-00-0000-0000	0001
2015-08-18 02:54:00	1439866440	374.7945	74.9980	49.5726	411.5070	400.3470	3985.4500	5930.9020	  17.2260	1-0-00-0000-0000	0001
2015-08-18 05:54:00	1439877240	374.7704	75.0563	49.1907	403.4030	401.0800	3987.0110	7027.1680	  18.1540	1-0-00-0000-0000	0001
2015-08-18 11:54:00	1439898840	374.8263	75.4156	49.2095	422.1090	401.0480	3987.2610	6493.1960	  16.4140	1-0-00-0000-0000	0001
2015-08-18 14:54:00	1439909640	374.7807	75.5296	49.1525	408.2990	400.9070	3985.1470	6016.4800	  16.1760	1-0-00-0000-0000	0001
2015-08-18 17:54:00	1439920440	374.8000	74.8566	49.1421	422.2480	401.2800	3985.2720	4684.0900	  15.5000	1-0-00-0000-0000	0001
2015-08-18 20:54:00	1439931240	374.7800	74.6050	49.1456	415.2750	400.8660	3985.7280	4534.0660	  15.8510	1-0-00-0000-0000	0001
